,mean,sd
216,-0.9401447,0.5583232
217,-2.7789435,0.379493
218,-1.1583817,0.6705727
219,-2.6969938,0.3570902
220,-2.0029206,0.7143553
221,-2.4905083,0.33055645
222,-1.1110288,0.8042535
223,-1.2817616,0.7697847
224,-2.6561592,0.32482815
225,-1.3688987,0.7265436
226,-2.2611556,0.8270366
227,-1.2383653,0.92290705
228,-3.421431,0.3848217
229,-3.1727426,0.4133333
230,-1.5998931,0.65107024
231,-3.8008163,0.47196954
232,-2.5882173,0.4195305
233,-1.245489,0.7635143
234,-1.1713802,0.55676407
235,-2.2953663,0.56169814
236,-1.3190199,0.7684625
237,-0.5468968,0.7609725
238,-1.7375634,0.670119
239,-2.881015,0.69793576
240,-0.8665711,0.54246473
241,-1.9443644,0.9024868
242,-3.0983405,0.44567934
243,-2.8629534,0.89393157
244,-2.9334517,0.40241906
245,-1.3464863,0.8032315
246,-3.5216017,1.1742928
247,-0.715937,0.64194834
248,-2.2980912,0.70597416
249,-1.6332769,0.74047613
250,-2.1064198,0.6542069
251,-1.6513476,0.7268016
252,-2.00687,0.5615806
253,-4.194368,1.5409112
254,-3.1943755,0.5043374
255,-1.2642328,0.84870946
256,-3.2798464,0.37473264
257,-2.7750812,0.3678278
258,-2.4680483,0.3413954
259,-2.9930298,0.36479372
260,-3.491731,1.286801
261,-3.1740208,0.3954817
262,-1.3262793,0.71027786
263,-1.231802,0.7090171
264,-1.3165148,0.6844043
265,-1.8375769,0.4766245
266,-1.3801783,0.79702723
267,-2.6409051,0.32702094
268,-1.3851978,0.55372286
269,-2.7006412,0.32758284
270,-2.6473005,0.39885706
271,-3.1937473,0.34737417
272,-0.5558278,0.65484774
273,-1.9239846,1.1897569
274,-1.2479024,0.6151188
275,-0.880094,0.49905485
276,-2.9718792,0.5029508
277,-3.0980399,0.51663756
278,-1.8187051,0.820497
279,-2.2114456,0.43201166
280,-2.9313679,0.32135457
281,-0.39032716,0.7209903
282,-3.4772513,0.48601106
283,-0.94153124,0.57031095
284,-2.6138654,0.38554767
285,-1.5135161,0.63147295
286,-1.1161046,0.5936468
287,-2.2612202,0.49505824
288,-0.88980615,0.68672097
289,-0.64972657,0.66633546
290,-2.9178042,0.44896868
291,-3.2852433,0.5074733
292,-3.0849159,0.36399457
293,-0.70755005,0.6860608
294,-1.8493465,0.5921994
295,-1.59218,0.73242307
296,-2.382686,0.42600703
297,-0.5739489,0.60683084
298,-0.8109888,0.6982608
299,-2.6870556,0.53338194
300,-1.0121833,0.7225888
301,-3.0480452,0.42803964
302,-2.3536744,0.48902735
303,-1.3047767,0.77650595
304,-2.297488,0.5260153
305,-2.912099,0.36927545
306,-0.10511269,0.6779601
307,-0.4463662,0.5925461
308,-1.3092314,0.9599354
309,-0.6377728,1.4129688
310,-2.9224436,0.56265676
311,3.8074083,4.374686
312,-1.6111664,0.64343834
313,-2.6230636,0.37006545
314,-3.2867792,0.36598018
315,-2.398991,0.49274606
316,-0.8515334,0.6055566
317,-1.3027828,0.75613487
318,-3.8241632,0.53362453
319,-0.4256624,0.5755985
320,-0.9450225,0.6313623
321,-1.0859336,0.674417
322,-1.13692,0.7811374
323,-2.554831,0.36006048
324,-1.5384097,0.65785503
325,-1.3600391,0.6262696
326,-0.89863783,0.741094
327,-3.0505037,0.46242878
328,-0.8607,0.65100354
329,-2.705392,0.5023493
330,-0.8804552,0.7846762
331,-2.5973458,0.41221857
332,-0.349626,0.53380436
333,-1.3627572,0.66891223
334,-2.1181874,0.70265806
335,-2.2194529,0.369669
336,-1.5211507,0.74087554
337,-1.585405,0.92299205
338,-3.2465918,0.44945812
339,-3.0239432,0.5260818
340,-1.3813955,0.66973895
341,-3.2579238,0.62978137
342,-1.0037913,0.5835592
343,-2.5551007,0.75909996
344,-3.2420883,0.50154227
345,-2.9743795,0.3988615
346,-0.78089905,0.70020926
347,-1.3452913,0.7246772
348,-2.245515,0.36210245
349,-1.7778573,0.64844155
350,-2.3528478,0.32579485
351,-1.1551286,0.6471432
352,-1.4310232,1.051782
353,-3.196252,0.44031307
354,-3.170555,0.47498867
355,-0.56815225,0.7049105
356,-3.1867797,0.4288448
357,-0.7422995,0.5620367
358,-2.9109097,0.31075957
359,-0.7480488,0.88596946
360,-1.1497357,0.62966454
361,0.012471032,0.5239604
362,-3.060634,0.37551045
363,-1.9804481,0.25677115
364,-2.754325,0.6869819
365,-1.2885228,0.86254287
366,-3.0061598,1.1499115
367,-1.2530426,0.77521855
368,-1.0194733,0.8360772
369,-1.2907915,0.808068
370,-1.115042,0.6566228
371,-1.4581124,0.5933072
372,-1.6512861,0.7632907
373,-1.8866917,0.6367693
374,-1.2292712,0.9319823
375,-1.7022967,0.4869937
376,-1.897901,0.6824389
377,-4.3202305,0.5860575
378,-1.2825705,0.7570006
379,-1.6250569,0.84786636
380,-1.6953759,0.78211904
381,-1.478354,0.6099263
382,-3.2087152,0.38896644
383,-1.5528599,0.86003816
384,-1.6786644,0.80210835
385,-2.0373337,1.0626068
386,-1.9931555,0.7004258
387,-3.0579944,0.40359002
388,-3.9238129,0.45921668
389,-2.8177776,0.34689415
390,-1.2244937,0.748105
391,-3.2361228,0.46473557
392,-2.2391157,0.6476339
393,-1.4436727,0.8642631
394,-3.0583978,0.33482668
395,-0.96741843,0.78339326
396,-2.892197,0.38289785
397,-2.0780578,0.5698151
398,-1.411317,0.59106684
399,-2.9758096,0.43359402
400,-2.0597234,0.48148537
401,-0.43938774,0.6628927
402,-1.1703639,0.69877553
403,-1.6676005,0.5598918
404,-3.028838,0.4409017
405,-2.865971,0.3806629
406,-1.4395244,0.7375529
407,-2.964438,0.5186688
408,-0.9164727,0.7356324
409,-2.998282,0.38825718
410,-2.839323,0.43541312
411,-1.3025912,0.6592101
412,-3.3360665,0.4901392
413,-2.8315325,0.43568486
414,-2.0888162,0.64100796
415,-0.6585903,0.6799812
416,-1.7939348,0.6260047
417,-3.172624,0.5459723
418,-3.5358596,0.5059385
419,-1.0739377,0.6413419
420,-0.3403668,0.7677197
421,-1.2945087,0.5972478
422,-0.79195666,0.6751588
423,-1.0258818,0.7742608
424,-2.7429552,0.4198183
425,-2.8326142,0.35091037
426,-2.7147532,0.40049288
427,-0.84672815,0.7126336
428,-2.2724657,0.6845536
429,-2.5031571,0.6175922
430,-1.8985269,0.31100023
431,-0.6381142,0.73107594
432,-3.348277,0.60181147
433,-3.1578455,0.29914176
434,-1.0651416,0.8054539
435,-2.7461014,0.376253
436,-3.4396708,0.4143204
437,-2.3822565,0.6517826
438,-2.4955592,0.4078629
439,-1.2871426,0.68365335
440,-2.3037965,0.3658005
441,-0.99163216,0.64360625
442,-1.3215554,0.72774965
443,-3.1524978,0.43990043
444,-0.57082725,0.7077211
445,-1.2972142,0.77922297
446,-2.9928637,0.4114023
447,-3.381044,0.4429981
448,-2.3628552,0.3059571
449,-1.0199339,0.58211917
450,-2.0465019,0.7646666
451,-0.83483267,0.52546734
452,-1.3857162,0.97404104
453,-3.2941308,0.4050114
454,-0.7845165,0.5925945
455,-2.6175544,0.5741956
456,-3.1361706,0.4547972
457,-2.6221726,0.86791843
458,-3.1986294,0.5214975
459,-2.5281584,0.55865186
460,-2.5404687,0.35450378
461,-2.1527903,0.77158123
462,-2.2306442,0.77372164
463,-1.4121547,0.7205889
464,-1.4217525,0.91109514
465,-2.9709842,0.8845058
466,-2.8741267,0.6416508
467,-0.7231797,0.69792426
468,-3.6618228,0.5477114
469,-0.49920708,0.63578963
470,-1.4695604,0.76783836
471,-1.5071868,0.7868505
472,-2.1470098,0.93176335
473,-1.7500671,0.7255152
474,-3.4083712,0.46782842
475,-1.0146128,0.7555557
476,-2.8796966,0.3906471
477,-0.77499217,0.6113546
478,-0.5218111,0.6859639
479,-2.083455,0.73028886
480,-1.1339315,0.53278714
481,-2.687168,0.385029
482,-2.2469847,0.4752685
483,-0.5306631,0.72552216
484,-1.2249922,0.7391281
485,-2.395208,0.8929301
486,-1.3194484,0.7828551
487,-0.20750183,0.5767488
488,-1.3972515,0.89138144
489,-0.49881524,0.8101566
490,-3.6831636,0.49933112
491,-1.2475113,0.78459054
492,-2.0526388,0.73829645
493,-2.369017,0.73507464
494,-1.3689526,0.22836189
495,-2.5503702,0.4211807
496,-1.6792291,0.69852465
497,-2.0029354,0.63704336
498,-1.3725417,0.6889135
499,-0.76893187,0.74196285
500,-1.1406996,0.5798527
501,-3.0406396,0.3430629
502,-0.23835196,0.6384885
503,-2.869692,0.47592378
504,-1.0904428,0.622535
505,-1.2708248,0.6479997
506,-2.543577,0.64755166
507,-3.3805666,0.3954853
508,-2.5059717,0.38413826
509,-1.0870128,0.83933085
510,-2.1446028,0.7909363
511,-3.4047341,0.38284963
512,-3.6034927,0.53686243
513,-2.192128,0.63159245
514,-0.8999607,0.45459446
515,-2.4715972,0.76089364
516,-1.3737198,0.6339985
517,-3.0878513,0.4653646
518,-0.55793315,0.81142205
519,-3.7170773,0.47914538
520,-0.6780053,0.8243829
521,-1.1431069,0.7210592
522,-2.335576,0.28724992
523,-1.3288682,0.59768367
524,-3.2218375,0.4081404
525,-1.4224168,0.81993794
526,-2.3988945,0.6255968
527,-1.9772297,1.0904902
528,-2.545838,0.3701834
529,-0.7912404,0.6726984
530,-1.9592354,0.76970106
531,-0.9460016,0.60214466
532,-0.30989358,0.7073524
533,-0.921969,0.63868743
534,-2.2086709,0.5928339
535,-0.7329195,0.5954244
536,-3.7685535,0.5980134
537,-1.2870543,0.5412464
538,-2.9294782,0.34674948
539,-2.460082,1.0480921
540,-1.2812133,0.5943937
541,-3.102916,0.5618624
542,-1.222906,0.57222754
543,-1.7937557,0.6831195
544,-1.6070453,0.78063667
545,-1.1076676,0.6161607
546,-2.265448,0.38264304
547,-2.8817785,0.36313933
548,-1.0359609,0.55827
549,-1.5505383,0.7238596
550,-1.6892123,0.7934516
551,-1.4547858,0.6796543
552,-2.7639368,0.57447875
553,-2.8491964,0.44854897
554,-2.5471826,0.37354684
555,-2.1391623,0.66980046
556,-2.9430444,0.44922072
557,-2.862829,0.40623793
558,-2.345317,0.6822145
559,-1.2824948,0.7517785
560,-2.444076,0.2877774
561,-0.6390538,0.3722385
562,-0.5184736,0.7300648
563,-1.3374376,1.0253029
564,-2.998703,0.3494699
565,-1.3818696,0.74531764
566,-1.9426079,0.80084234
567,-2.9344475,0.46572682
568,-2.208547,0.31930456
569,-0.9819936,0.780524
570,-2.6944342,0.27471086
571,-1.7788701,0.718536
572,-2.545708,0.48582742
573,-3.5681274,0.6430767
574,-1.323941,0.624554
575,-0.97585624,0.59068966
576,-2.7504675,0.42726776
577,-1.4053521,0.71679735
578,-1.9731828,0.7902649
579,-2.525156,0.3941659
580,-2.4014528,0.504844
581,-1.5882329,0.89779854
582,-2.3489928,0.34213558
583,-1.2412903,0.6907756
584,-3.0989914,0.4078306
585,-1.5233912,1.0291345
586,-1.7705258,0.7726495
587,-1.8663993,1.0029204
588,-1.2068145,0.65460706
589,-0.75129837,0.7372386
590,-1.2808608,0.6084934
591,-2.9214227,0.3924888
592,-2.9443624,0.39415482
593,-1.2003446,0.6663951
594,-3.1743798,0.41177195
595,-1.6390606,0.72873294
596,-3.4907064,0.47481
597,-2.417615,1.0025185
598,-2.3652925,0.46999064
599,-2.6794708,0.40543935
600,-0.75904864,0.5694997
601,-2.0487764,0.6472262
602,-2.2700956,0.31070748
603,-2.806633,0.43523794
604,-3.1632404,0.3720594
605,-1.5473871,0.8469672
606,-2.43526,0.76299316
607,-1.4759681,0.6475156
608,-1.7512661,0.8551442
609,-1.9705722,0.58450603
610,-2.9862857,0.4048829
611,-2.6224031,0.71619
612,-0.90482247,0.9062528
613,-1.0160507,0.737781
614,-3.3164644,0.41703898
615,-3.528813,0.68644637
616,-0.8691073,0.6662146
617,-2.832936,0.32486078
618,-1.4314392,0.69996554
619,-1.8690284,0.6166246
620,-1.573057,0.5904906
621,-3.2824383,0.3769275
622,-2.6689563,0.43771842
623,-3.2787037,0.46764556
624,-0.91817284,0.5348114
625,-2.6700416,0.39123416
626,-2.519156,0.32275543
627,-3.089373,0.75767505
628,-0.9485075,0.6220148
629,-3.2347343,0.3663281
630,-2.8798966,0.54547054
631,-1.1687084,0.6366121
632,-3.1206713,0.30231625
633,-0.6887006,0.6669831
634,-3.2988727,0.48676577
635,-2.1572256,0.9838815
636,-2.5674329,0.6509057
637,-2.3940477,0.38757697
638,-1.6901721,0.35509905
639,-0.46911702,0.6495164
640,-3.168309,0.9885045
