neuron,mean,sd
0,-0.0212604608386755,0.014180718921124935
1,-0.03153979778289795,0.02228119969367981
2,-0.03618442267179489,0.020214030519127846
3,-0.12922854721546173,0.07411222159862518
4,-0.19368526339530945,0.07316935062408447
5,-0.02463793009519577,0.018544448539614677
6,-0.03452381491661072,0.01722017303109169
7,-0.026999112218618393,0.018246496096253395
8,-0.034425728023052216,0.018983982503414154
9,-0.052514515817165375,0.016132673248648643
10,-0.056247279047966,0.021222995594143867
11,-0.17750364542007446,0.08275318145751953
12,-0.13346631824970245,0.0980202853679657
13,-0.03646925836801529,0.024310143664479256
14,-0.12825894355773926,0.06679177284240723
15,-0.025241144001483917,0.015038101933896542
16,-0.10926739126443863,0.052291519939899445
17,-0.029414474964141846,0.017674613744020462
18,-0.10167765617370605,0.04880642518401146
19,-0.046786531805992126,0.022000819444656372
20,-0.03987709432840347,0.020547954365611076
21,-0.17205417156219482,0.10395751148462296
22,-0.12471673637628555,0.1291452944278717
23,-0.1464172601699829,0.06152491644024849
24,-0.12644954025745392,0.07247919589281082
25,-0.04815754294395447,0.02189594879746437
26,-0.046805836260318756,0.02609388716518879
27,-0.19602815806865692,0.06203427538275719
28,-0.05074501782655716,0.03600330650806427
29,-0.19557076692581177,0.08497030287981033
30,-0.18998751044273376,0.05955829471349716
31,-0.10327383875846863,0.06368233263492584
32,-0.13687336444854736,0.07735798507928848
33,-0.11997667700052261,0.07461169362068176
34,-0.154448002576828,0.06609540432691574
35,-0.027069125324487686,0.02234390377998352
36,-0.1383880376815796,0.07465053349733353
37,-0.03713242709636688,0.023143146187067032
38,-0.10114970058202744,0.09482651948928833
39,-0.024104204028844833,0.01805002987384796
40,-0.02997981756925583,0.02331732027232647
41,-0.03458530455827713,0.0186274666339159
42,-0.035716135054826736,0.020389949902892113
43,-0.026035765185952187,0.01626904495060444
44,-0.030621621757745743,0.017614517360925674
45,-0.035226963460445404,0.022586315870285034
46,-0.20008784532546997,0.07025083154439926
47,-0.032256171107292175,0.017516648396849632
48,-0.026138070970773697,0.01810641959309578
49,-0.029672933742403984,0.014830087311565876
50,-0.08396629244089127,0.07505398988723755
51,-0.0297885499894619,0.01731215976178646
52,-0.26202264428138733,0.09674851596355438
53,-0.09140516817569733,0.06491225212812424
54,-0.027702676132321358,0.01686968095600605
55,-0.03849117085337639,0.01975959725677967
56,-0.15740831196308136,0.06695877015590668
57,-0.03357851877808571,0.016687307506799698
58,-0.035291653126478195,0.016603901982307434
59,-0.1055828407406807,0.09315250813961029
60,-0.10441238433122635,0.0762081891298294
61,-0.03546818718314171,0.0192730650305748
62,-0.04473213106393814,0.01849488914012909
63,-0.16900508105754852,0.10252584517002106
64,-0.14904248714447021,0.10570349544286728
65,-0.14575156569480896,0.10298376530408859
66,-0.0994509682059288,0.06931105256080627
67,-0.03487222641706467,0.019948991015553474
68,-0.022494684904813766,0.015933096408843994
