alpha_u,alpha_i,ndcg,avgpop@10,gini@10,cov@10,covn@10,ndcgpassive@10,ndcgneutral@10,ndcgactive@10,ndcgtail@10,ndcgmid@10,ndcghead@10,ndcgtailuser@10,ndcgmiduser@10,ndcgheaduser@10
0,0,0.0343,15.6425,0.8784,0.2385,0.0239,0.0343,0.0343,0.0341,0.0011,0.0111,0.022,0.0306,0.0306,0.0674
0.0,0,0.0343,15.6425,0.8784,0.2385,0.0239,0.0343,0.0343,0.0341,0.0011,0.0111,0.022,0.0306,0.0306,0.0674
3.0,0,0.0346,10.6027,0.8535,0.2621,0.0238,0.0347,0.0347,0.0346,0.0013,0.0118,0.0216,0.0311,0.0311,0.0664
4.0,0,0.0344,10.2089,0.8519,0.2636,0.0235,0.0343,0.0343,0.0352,0.0013,0.0117,0.0215,0.0308,0.0308,0.0671
6.0,0,0.0345,9.7271,0.8511,0.264,0.024,0.0346,0.0346,0.0345,0.0013,0.012,0.0213,0.031,0.031,0.0666
8.0,0,0.0343,9.5313,0.851,0.2641,0.0242,0.0342,0.0342,0.0348,0.0013,0.012,0.021,0.0308,0.0308,0.0656
10.0,0,0.0342,9.3949,0.8508,0.2642,0.024,0.0341,0.0341,0.0347,0.0013,0.012,0.0209,0.0307,0.0307,0.0652
12.0,0,0.0342,9.3132,0.8509,0.2641,0.024,0.0341,0.0341,0.0347,0.0013,0.0121,0.0208,0.0308,0.0308,0.065
