alpha_u,alpha_i,ndcg,dltc@10,avgpop@10,gini@10,cov@10,ndcgtail@10,ndcgmid@10,ndcghead@10
0.0,0.0,0.2281,0.8894,352.3926,0.7342,0.9288,0.0012,0.045,0.1819
0.5,0.0,0.2252,0.903,334.2775,0.7181,0.937,0.0013,0.0465,0.1773
1.0,0.0,0.2217,0.9134,316.9951,0.7032,0.9433,0.0015,0.0477,0.1726
1.5,0.0,0.217,0.9234,299.9778,0.6893,0.9493,0.0015,0.0485,0.1669
2.0,0.0,0.2108,0.9299,282.5237,0.6767,0.9532,0.0017,0.0489,0.1602
2.5,0.0,0.2024,0.933,263.8032,0.6662,0.9549,0.0018,0.0486,0.152
3.0,0.0,0.1914,0.9371,242.273,0.6594,0.9573,0.0019,0.0476,0.1418
