neuron_id,activation_count
0,0.0
1,0.0
2,0.0
3,0.0
4,2717.0
5,0.0
6,1.0
7,0.0
8,0.0
9,0.0
10,5.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,6.0
18,5.0
19,0.0
20,0.0
21,1.0
22,3.0
23,2.0
24,1.0
25,0.0
26,0.0
27,0.0
28,29.0
29,36.0
30,0.0
31,11.0
32,0.0
33,6459.0
34,0.0
35,228.0
36,0.0
37,102.0
38,59.0
39,48.0
40,0.0
41,0.0
42,2483.0
43,4.0
44,3463.0
45,3.0
46,2857.0
47,39709.0
48,0.0
49,1.0
50,1.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,15387.0
59,1.0
60,1.0
61,12.0
62,0.0
63,0.0
64,0.0
65,0.0
66,15226.0
67,0.0
68,48.0
69,0.0
70,0.0
71,2.0
72,0.0
73,0.0
74,3717.0
75,0.0
76,0.0
77,5.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,9847.0
85,2.0
86,0.0
87,0.0
88,2614.0
89,1.0
90,1.0
91,0.0
92,3.0
93,6151.0
94,0.0
95,0.0
96,667.0
97,651.0
98,0.0
99,0.0
100,0.0
101,0.0
102,1.0
103,9545.0
104,13913.0
105,4.0
106,0.0
107,0.0
108,0.0
109,5675.0
110,0.0
111,0.0
112,0.0
113,6794.0
114,1.0
115,1449.0
116,0.0
117,2784.0
118,0.0
119,1.0
120,1.0
121,0.0
122,0.0
123,1.0
124,9.0
125,0.0
126,12.0
127,63.0
128,0.0
129,0.0
130,0.0
131,0.0
132,2660.0
133,285.0
134,0.0
135,39067.0
136,0.0
137,0.0
138,21.0
139,0.0
140,4349.0
141,53094.0
142,0.0
143,131.0
144,0.0
145,2.0
146,0.0
147,0.0
148,33.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,1.0
156,0.0
157,0.0
158,9405.0
159,0.0
160,0.0
161,926.0
162,0.0
163,36.0
164,19.0
165,158.0
166,0.0
167,0.0
168,0.0
169,10980.0
170,1.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,44.0
181,9.0
182,0.0
183,0.0
184,0.0
185,13.0
186,0.0
187,1.0
188,0.0
189,15241.0
190,0.0
191,0.0
192,0.0
193,3.0
194,9.0
195,5.0
196,0.0
197,0.0
198,8964.0
199,35.0
200,0.0
201,9.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,5923.0
208,46.0
209,49536.0
210,67.0
211,0.0
212,162.0
213,11578.0
214,1.0
215,0.0
216,3010.0
217,0.0
218,25988.0
219,96.0
220,0.0
221,6170.0
222,0.0
223,0.0
224,1.0
225,0.0
226,0.0
227,118.0
228,0.0
229,0.0
230,0.0
231,22.0
232,0.0
233,0.0
234,583.0
235,0.0
236,0.0
237,0.0
238,0.0
239,3.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,2.0
248,0.0
249,0.0
250,2176.0
251,123.0
252,0.0
253,21164.0
254,117.0
255,1765.0
256,11516.0
257,0.0
258,0.0
259,7.0
260,1.0
261,0.0
262,0.0
263,80.0
264,1.0
265,4458.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,1.0
274,0.0
275,129.0
276,0.0
277,0.0
278,104.0
279,0.0
280,0.0
281,2267.0
282,0.0
283,988.0
284,35.0
285,555.0
286,24137.0
287,12764.0
288,0.0
289,0.0
290,11.0
291,0.0
292,0.0
293,4.0
294,0.0
295,1.0
296,0.0
297,3.0
298,0.0
299,31.0
300,0.0
301,0.0
302,0.0
303,744.0
304,49268.0
305,0.0
306,1.0
307,1.0
308,13783.0
309,22.0
310,1.0
311,0.0
312,12032.0
313,0.0
314,0.0
315,0.0
316,48.0
317,1.0
318,0.0
319,0.0
320,14954.0
321,2.0
322,0.0
323,47.0
324,23.0
325,14.0
326,0.0
327,0.0
328,0.0
329,3674.0
330,2.0
331,2.0
332,1.0
333,40001.0
334,0.0
335,0.0
336,0.0
337,7.0
338,0.0
339,0.0
340,1.0
341,0.0
342,22994.0
343,0.0
344,0.0
345,1.0
346,0.0
347,0.0
348,0.0
349,31152.0
350,0.0
351,3.0
352,0.0
353,0.0
354,0.0
355,0.0
356,203.0
357,854.0
358,0.0
359,16290.0
360,323.0
361,0.0
362,1134.0
363,0.0
364,0.0
365,1.0
366,4.0
367,0.0
368,1.0
369,0.0
370,3.0
371,1.0
372,0.0
373,0.0
374,0.0
375,49.0
376,0.0
377,0.0
378,55123.0
379,0.0
380,6498.0
381,0.0
382,2.0
383,0.0
384,19498.0
385,0.0
386,0.0
387,7647.0
388,0.0
389,27676.0
390,1632.0
391,0.0
392,2.0
393,90.0
394,1.0
395,3.0
396,0.0
397,0.0
398,0.0
399,15866.0
400,3142.0
401,253.0
402,3.0
403,3852.0
404,1.0
405,0.0
406,0.0
407,0.0
408,0.0
409,2585.0
410,0.0
411,463.0
412,2.0
413,0.0
414,0.0
415,30012.0
416,0.0
417,0.0
418,0.0
419,35.0
420,298.0
421,0.0
422,1.0
423,4436.0
424,0.0
425,66.0
426,3.0
427,0.0
428,0.0
429,1.0
430,0.0
431,14926.0
432,0.0
433,19.0
434,1.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,0.0
441,4.0
442,1.0
443,0.0
444,2.0
445,28.0
446,33168.0
447,0.0
448,0.0
449,0.0
450,2.0
451,0.0
452,1.0
453,0.0
454,0.0
455,1.0
456,0.0
457,0.0
458,0.0
459,16.0
460,0.0
461,2138.0
462,3.0
463,0.0
464,0.0
465,0.0
466,0.0
467,0.0
468,0.0
469,0.0
470,0.0
471,2.0
472,4710.0
473,2190.0
474,0.0
475,2.0
476,0.0
477,0.0
478,1.0
479,15.0
480,0.0
481,0.0
482,20533.0
483,0.0
484,19.0
485,0.0
486,0.0
487,0.0
488,0.0
489,15139.0
490,0.0
491,0.0
492,0.0
493,0.0
494,1094.0
495,66303.0
496,2.0
497,3.0
498,0.0
499,12.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,1.0
507,0.0
508,0.0
509,7459.0
510,0.0
511,48819.0
512,0.0
513,0.0
514,0.0
515,0.0
516,1.0
517,0.0
518,0.0
519,9.0
520,277.0
521,21.0
522,0.0
523,13.0
524,14.0
525,0.0
526,0.0
527,5272.0
528,0.0
529,0.0
530,88.0
531,23298.0
532,27461.0
533,6.0
534,2259.0
535,0.0
536,0.0
537,0.0
538,0.0
539,23.0
540,0.0
541,24.0
542,0.0
543,0.0
544,299.0
545,0.0
546,0.0
547,0.0
548,0.0
549,0.0
550,0.0
551,5.0
552,0.0
553,33215.0
554,0.0
555,0.0
556,0.0
557,4.0
