,mean,sd
220,-4.8281274,1.2299937
221,-3.7621734,0.794658
222,-4.602632,0.9815152
223,-5.9648376,1.446502
224,-6.2460413,1.688097
225,-5.980559,1.1726286
226,-5.842261,1.4960347
227,-6.865735,1.6271465
228,-5.1881976,1.0735077
229,-3.682388,0.7097269
230,-5.5975084,1.3150479
231,-5.427311,1.1529187
232,-6.2946978,1.40206
233,-5.687676,1.386369
234,-4.125915,0.9012318
235,-5.755411,1.5357664
236,-5.316306,1.2141459
237,-4.633615,1.0635448
238,-4.5745454,1.0506233
239,-6.894115,1.4586428
240,-6.241751,1.7806803
241,-8.114824,1.9349594
242,-6.673148,1.4702361
243,-4.106713,0.938995
244,-6.5766993,1.490401
245,-7.150336,1.6417065
246,-5.5608025,1.4446229
247,-5.0590973,1.5883726
248,-5.859574,1.6857
249,-6.36355,1.5620216
250,-6.7743964,1.4432386
251,-5.5825086,1.1301934
252,-6.184195,1.2799902
253,-6.2688866,1.2617105
254,-7.979216,1.762066
255,-5.034708,1.082817
256,-3.9851272,0.9914635
257,-5.6241016,1.3803385
258,-5.944148,1.688023
259,-6.008993,1.6296469
260,-5.759164,1.5288777
261,-5.046167,1.0652835
262,-4.5313134,0.9971346
263,-5.7928123,1.4487025
264,-5.0534225,1.4179112
265,-4.9611697,1.1505827
266,-4.7476134,1.0277313
267,-4.83,1.2528229
268,-5.075434,1.220236
269,-4.5782833,0.856128
270,0.8352271,2.3012307
271,-5.9490056,1.3726584
272,-5.2295384,1.1397678
273,-6.4164515,1.5181422
274,-5.801012,1.661244
275,-6.0014553,1.6305798
276,-4.0673647,0.9542508
277,-6.0383153,1.9475569
278,-0.098096445,0.5770412
279,-5.153599,1.2791781
280,-4.3361735,0.9179626
281,-3.3621552,0.65268785
282,-4.867371,1.161371
283,-5.1886396,1.3434622
284,-6.09955,1.3964963
285,-4.2580276,1.0792724
286,-5.4628296,1.3540913
287,-6.1683702,1.4726893
288,-5.7300167,1.467247
289,-5.322958,1.6504552
290,-5.8067327,1.1201122
291,-6.392799,1.7467757
292,-6.306886,1.7572213
293,-5.8669963,1.4368675
294,-5.554309,1.4798894
295,-6.7516994,1.4043398
296,-5.354374,1.224265
297,-3.5935984,0.7113047
298,-6.1895905,1.4328057
299,-3.1154127,0.6668464
300,-6.495261,1.56923
301,-6.320603,1.7316681
302,-0.27346775,1.0466206
303,-6.278104,1.6744698
304,-6.30312,1.6607089
305,-4.5077753,0.96583956
306,-5.914596,1.5464357
307,-5.9512,1.7153912
308,-6.2310987,1.6170441
309,-4.6758676,1.0174252
310,-7.1550527,1.6353478
311,-0.096056215,1.4528946
312,-4.935638,1.13686
313,-5.581156,1.3709774
314,-7.1543927,1.4912848
315,-4.818501,1.2812366
316,-4.503383,1.0977372
317,-5.0595875,1.1695886
318,-6.7020025,1.7835914
319,-5.806534,1.2140982
320,-5.8928285,1.584726
321,-5.849998,1.5387385
322,-4.9124146,1.0217242
323,-6.4430256,1.336218
324,-5.7549953,1.4868928
325,-5.793913,1.5683501
326,-4.878697,1.4677823
327,-5.8649898,1.3885474
328,-6.281899,1.4728515
329,-5.677855,1.1965984
330,-5.722761,1.172422
331,-9.49158,2.1169686
332,-4.847586,1.2382551
333,-3.6627185,0.7027239
334,-5.6636677,1.135053
335,-6.578192,1.495177
336,-5.2809353,1.0683428
337,-5.6111083,1.6470455
338,-5.9053535,1.3647068
339,-6.332506,1.3898909
340,-6.226911,1.6533668
341,-8.269044,1.7547028
342,-5.689883,1.3980329
343,-5.5710406,1.4123533
344,-6.701312,1.6699828
345,-5.867492,1.7649431
346,-7.864022,1.5915188
347,-6.2015452,1.4573342
348,-7.3399673,1.618448
349,-5.9238453,1.2087086
350,-6.0152073,1.4174963
351,-5.861721,1.4605285
352,-5.656534,1.2816414
353,-8.413944,1.7830964
354,-6.7699738,1.7161411
355,-6.4242635,1.4262143
356,-6.3122463,1.5374044
357,-5.740595,1.3964795
358,-4.232006,0.92005455
359,-5.9432635,1.2374411
360,-5.4221187,1.3921816
361,-7.1031294,1.4324526
362,-7.0958314,1.5996736
363,-5.7097917,1.3000954
364,-7.55028,1.4485741
365,-5.544336,1.3037802
366,-5.808067,1.2213459
367,-5.75262,1.5273756
368,-6.5120654,1.6199063
369,-5.730999,1.3622097
370,-4.442492,0.9378023
371,-6.317317,1.3928773
372,-6.2238383,1.5024061
373,-5.6881075,1.429594
374,-7.2153625,1.5757124
375,-3.3596215,0.71904945
376,-5.877513,1.3600255
377,-4.626229,0.94785386
378,-7.6408167,1.5635711
379,-5.4195204,1.187382
380,-7.2168455,1.9228642
381,-3.9768598,0.95393926
382,-6.538877,1.3935162
383,-5.5570574,1.1545128
384,-5.0579333,1.2370508
385,-4.899758,1.1490936
386,-4.224128,0.9470052
387,-6.259993,1.430042
388,-6.029426,1.1771809
389,-4.924399,1.1849426
390,-4.3921556,0.8927883
391,-5.905617,1.1965665
392,-5.675665,1.6665064
393,-3.3041582,0.6444871
394,-4.8619466,1.0447731
395,-6.07053,1.4064505
396,-5.9967666,1.3388715
397,-5.877372,1.4388096
398,-5.6093884,1.7315844
399,-3.9659154,0.858059
400,-6.2941613,1.4169989
401,-6.1771846,1.5461954
402,-6.477286,1.8450102
403,-0.08424813,0.6374246
404,-6.974856,1.5185529
405,-6.378081,1.6133043
406,-6.193034,1.6307855
407,-3.8234687,0.8552375
408,-4.4891496,1.2021554
409,-5.9471188,1.2415053
410,-7.2998114,1.4695665
411,-6.0844555,1.6666782
412,-6.337212,1.4263089
413,-4.9842706,1.0173246
414,-6.5757275,1.5375818
415,-6.104325,1.503204
416,-5.392453,1.2694705
417,-4.7882314,1.0250452
418,-5.7469616,1.1841046
419,-6.02767,1.3939531
420,-7.2001014,1.737528
421,-4.974825,1.0833186
422,-5.6053686,1.3193445
423,-5.49095,1.2559085
424,-3.625923,0.7339432
425,-7.5486083,1.8368592
426,-4.7661304,0.98362374
427,-5.220985,1.2088671
428,-5.8434496,1.2254175
429,-5.2364087,1.222249
430,-6.275647,1.7377875
431,-5.7472205,1.2678565
