alpha_u,alpha_n,alpha_i,ndcg,avgpop@10,gini@10,cov@10,covn@10,ndcgpassive@10,ndcgneutral@10,ndcgactive@10,ndcgtail@10,ndcgmid@10,ndcghead@10,ndcgtailuser@10,ndcgmiduser@10,ndcgheaduser@10,epochtime
0,,0,0.0713,2725.5455,0.9964,0.0469,0.0174,0.0673,0.0673,0.1078,0.0,0.0,0.0713,0.0721,0.0721,0.0641,0.7531564235687256
15,,0.0,0.0565,2508.1274,0.9951,0.0553,0.0225,0.0545,0.0545,0.0754,0.0001,0.0001,0.0565,0.0573,0.0573,0.0501,0.3144981861114502
30,,0.0,0.0418,1893.1301,0.99,0.0778,0.0377,0.0398,0.0398,0.0601,0.0001,0.0001,0.0417,0.0421,0.0421,0.0391,0.3148362636566162
50,,0.0,0.0335,1468.8769,0.9835,0.1032,0.0528,0.0322,0.0322,0.0456,0.0003,0.0003,0.0332,0.0341,0.0341,0.0284,0.31627750396728516
75,,0.0,0.0267,1170.1643,0.9761,0.1252,0.068,0.0257,0.0257,0.0354,0.0006,0.0006,0.0261,0.027,0.027,0.0243,0.31618738174438477
100,,0.0,0.0216,990.1677,0.9685,0.146,0.0834,0.0213,0.0213,0.0242,0.0007,0.0007,0.0209,0.0219,0.0219,0.0184,0.31676650047302246
