alpha_u,alpha_n,alpha_i,ndcg,avgpop@10,gini@10,cov@10,covn@10,ndcgpassive@10,ndcgneutral@10,ndcgactive@10,ndcgtail@10,ndcgmid@10,ndcghead@10,ndcgtailuser@10,ndcgmiduser@10,ndcgheaduser@10,epochtime
0,,0,0.0713,2725.5455,0.9964,0.0469,0.0174,0.0673,0.0673,0.1078,0.0,0.0,0.0713,0.0721,0.0721,0.0641,1.969698190689087
0.01,,0.0,0.0508,1854.409,0.9896,0.1222,0.0621,0.0485,0.0485,0.0715,0.0025,0.0025,0.0483,0.0511,0.0511,0.0484,266.859130859375
0.05,,0.0,0.0193,595.3737,0.9852,0.1342,0.0694,0.0182,0.0182,0.0284,0.0064,0.0064,0.0128,0.0194,0.0194,0.0184,266.5080871582031
0.1,,0.0,0.0153,436.6505,0.9856,0.1342,0.0692,0.0141,0.0141,0.0262,0.0068,0.0068,0.0085,0.0154,0.0154,0.0141,266.8486022949219
0.2,,0.0,0.0134,358.3301,0.9859,0.134,0.0697,0.0122,0.0122,0.0247,0.0069,0.0069,0.0065,0.0136,0.0136,0.0121,266.8502502441406
0.4,,0.0,0.0126,318.6119,0.9861,0.1347,0.0697,0.0112,0.0112,0.0244,0.007,0.007,0.0055,0.0128,0.0128,0.0104,266.668212890625
0.6,,0.0,0.0123,305.3857,0.9862,0.1347,0.0699,0.0109,0.0109,0.0241,0.0071,0.0071,0.0052,0.0125,0.0125,0.0103,266.63995361328125
0.8,,0.0,0.0121,299.1288,0.9863,0.1347,0.0699,0.0107,0.0107,0.0243,0.0072,0.0072,0.0049,0.0123,0.0123,0.0103,266.5240173339844
1.0,,0.0,0.012,294.7836,0.9863,0.1347,0.0697,0.0107,0.0107,0.0243,0.0072,0.0072,0.0049,0.0122,0.0122,0.0103,266.1417236328125
