alpha_u,alpha_n,alpha_i,ndcg,avgpop@10,gini@10,cov@10,covn@10,ndcgpassive@10,ndcgneutral@10,ndcgactive@10,ndcgtail@10,ndcgmid@10,ndcghead@10,ndcgtailuser@10,ndcgmiduser@10,ndcgheaduser@10,epochtime
6.0,0,4.0,0.0369,833.4738,0.9887,0.1152,0.0709,0.0332,0.0332,0.0708,0.0059,0.0059,0.031,0.0374,0.0374,0.0326,0.519141674041748
0,0,5.0,0.0671,2811.5422,0.9965,0.0521,0.0174,0.0639,0.0639,0.0962,0.0,0.0,0.0671,0.0676,0.0676,0.0625,0.5195131301879883
1.0,0,5.0,0.0687,2761.2311,0.9964,0.055,0.0203,0.0648,0.0648,0.104,0.0001,0.0001,0.0686,0.0693,0.0693,0.063,0.5175149440765381
2.0,0,5.0,0.0698,2685.0302,0.996,0.0648,0.0237,0.0655,0.0655,0.1082,0.0004,0.0004,0.0694,0.0705,0.0705,0.0635,0.5181984901428223
3.0,0,5.0,0.0694,2550.3645,0.9954,0.0731,0.0289,0.0652,0.0652,0.1079,0.001,0.001,0.0684,0.0703,0.0703,0.062,0.5179426670074463
4.0,0,5.0,0.0668,2256.1194,0.9943,0.0822,0.0374,0.0629,0.0629,0.1019,0.0024,0.0024,0.0644,0.0678,0.0678,0.0576,0.5206727981567383
5.0,0,5.0,0.0589,1678.6619,0.9921,0.0978,0.0511,0.0549,0.0549,0.095,0.0045,0.0045,0.0544,0.0597,0.0597,0.0509,0.5192818641662598
6.0,0,5.0,0.0366,827.0447,0.9887,0.1152,0.0704,0.0328,0.0328,0.0708,0.006,0.006,0.0306,0.0371,0.0371,0.0319,0.5187911987304688
0,0,6.0,0.0672,2821.2091,0.9966,0.0516,0.0174,0.0639,0.0639,0.0971,0.0,0.0,0.0672,0.0677,0.0677,0.0628,0.5186104774475098
1.0,0,6.0,0.0688,2766.9698,0.9964,0.0555,0.0205,0.0648,0.0648,0.1049,0.0001,0.0001,0.0687,0.0693,0.0693,0.0638,0.5208911895751953
2.0,0,6.0,0.0699,2684.6013,0.996,0.0641,0.0249,0.0654,0.0654,0.11,0.0004,0.0004,0.0695,0.0706,0.0706,0.0632,0.5186302661895752
3.0,0,6.0,0.0693,2537.5081,0.9954,0.0733,0.0291,0.0651,0.0651,0.107,0.0011,0.0011,0.0682,0.0702,0.0702,0.0613,0.518824577331543
4.0,0,6.0,0.0665,2224.7052,0.9943,0.0822,0.0377,0.0625,0.0625,0.1023,0.0027,0.0027,0.0639,0.0675,0.0675,0.0577,0.52581787109375
5.0,0,6.0,0.0586,1654.2637,0.9921,0.0983,0.0516,0.0545,0.0545,0.0952,0.0045,0.0045,0.0541,0.0595,0.0595,0.0505,0.519024133682251
6.0,0,6.0,0.0365,825.1307,0.9887,0.1154,0.0707,0.0327,0.0327,0.0708,0.006,0.006,0.0306,0.037,0.037,0.0319,0.5191733837127686
0,0.25,0,0.0703,2722.4528,0.9965,0.0506,0.0178,0.0667,0.0667,0.1026,0.0,0.0,0.0703,0.0711,0.0711,0.0628,0.48430299758911133
1.0,0.25,0,0.0709,2695.5514,0.9963,0.0535,0.02,0.067,0.067,0.1063,0.0,0.0,0.0709,0.0718,0.0718,0.0625,0.4844937324523926
2.0,0.25,0,0.0717,2653.0921,0.9961,0.0589,0.0232,0.0675,0.0675,0.1088,0.0002,0.0002,0.0715,0.0727,0.0727,0.0627,0.485032320022583
3.0,0.25,0,0.0716,2585.9458,0.9958,0.0689,0.0289,0.0675,0.0675,0.1092,0.0004,0.0004,0.0712,0.0727,0.0727,0.0617,0.48609066009521484
4.0,0.25,0,0.0707,2430.9323,0.9949,0.0822,0.0357,0.0667,0.0667,0.1073,0.0011,0.0011,0.0696,0.0717,0.0717,0.0622,0.4848959445953369
5.0,0.25,0,0.0656,2026.4459,0.993,0.0978,0.0501,0.062,0.062,0.0985,0.0031,0.0031,0.0626,0.0665,0.0665,0.0582,0.48939943313598633
6.0,0.25,0,0.0483,1203.4291,0.9891,0.1176,0.0716,0.0447,0.0447,0.0813,0.0051,0.0051,0.0432,0.0493,0.0493,0.0401,0.483837366104126
0,0.25,1.0,0.0698,2722.1713,0.9964,0.0521,0.0183,0.0663,0.0663,0.1012,0.0,0.0,0.0698,0.0706,0.0706,0.0627,0.4837324619293213
1.0,0.25,1.0,0.0706,2693.0798,0.9963,0.0531,0.0198,0.0666,0.0666,0.1059,0.0,0.0,0.0705,0.0714,0.0714,0.0627,0.483457088470459
2.0,0.25,1.0,0.0713,2645.154,0.996,0.0609,0.0232,0.0671,0.0671,0.109,0.0002,0.0002,0.0711,0.0722,0.0722,0.063,0.485659122467041
3.0,0.25,1.0,0.0715,2565.3373,0.9956,0.0707,0.0296,0.0672,0.0672,0.1101,0.0005,0.0005,0.071,0.0726,0.0726,0.0624,0.48430752754211426
4.0,0.25,1.0,0.0696,2375.4179,0.9947,0.0807,0.0362,0.0655,0.0655,0.1064,0.0015,0.0015,0.0681,0.0707,0.0707,0.06,0.48332905769348145
5.0,0.25,1.0,0.0628,1907.4382,0.9927,0.0983,0.0511,0.0589,0.0589,0.0975,0.0035,0.0035,0.0592,0.0635,0.0635,0.0568,0.4840970039367676
6.0,0.25,1.0,0.0417,943.013,0.9887,0.1169,0.0716,0.0378,0.0378,0.0769,0.0057,0.0057,0.0361,0.0425,0.0425,0.0348,0.48297715187072754
0,0.25,2.0,0.0698,2734.8301,0.9964,0.0511,0.0174,0.0664,0.0664,0.1007,0.0,0.0,0.0698,0.0705,0.0705,0.0636,0.48418307304382324
1.0,0.25,2.0,0.0706,2702.5957,0.9962,0.0533,0.0203,0.0666,0.0666,0.1063,0.0001,0.0001,0.0705,0.0714,0.0714,0.063,0.4839198589324951
2.0,0.25,2.0,0.0712,2648.7621,0.996,0.0606,0.0232,0.0671,0.0671,0.1078,0.0003,0.0003,0.0709,0.072,0.072,0.0639,0.4848043918609619
3.0,0.25,2.0,0.071,2558.3197,0.9955,0.0711,0.0293,0.0668,0.0668,0.1083,0.0007,0.0007,0.0703,0.0718,0.0718,0.0631,0.48369598388671875
4.0,0.25,2.0,0.0683,2349.1164,0.9946,0.0824,0.0369,0.0643,0.0643,0.1044,0.0017,0.0017,0.0666,0.0692,0.0692,0.0602,0.4842398166656494
5.0,0.25,2.0,0.0613,1836.1124,0.9925,0.0993,0.0511,0.0574,0.0574,0.0962,0.0039,0.0039,0.0574,0.0621,0.0621,0.0536,0.4868180751800537
