neuron,cohens_d
0,0.269826740026474
1,-0.01957996003329754
2,-3.8607289791107178
3,-1.7134575843811035
4,-0.8090263605117798
5,-0.6325695514678955
6,-2.0582046508789062
7,-2.737581729888916
8,-2.3809914588928223
9,-3.7418878078460693
10,-2.1245346069335938
11,-1.715104579925537
12,-2.4983808994293213
13,-2.110145092010498
14,-1.7316620349884033
15,-1.4352995157241821
16,-2.2764575481414795
17,-1.4139230251312256
18,-1.0315885543823242
19,-0.8947574496269226
20,-0.4392206370830536
21,-1.5384142398834229
22,-0.18773198127746582
23,-1.0337295532226562
24,-0.6332865357398987
25,-0.9319524765014648
26,-1.0994561910629272
27,-1.5003715753555298
28,0.4976499080657959
29,-0.2666788101196289
30,-0.6480950713157654
31,-0.9654674530029297
32,-1.96700918674469
33,-2.4131505489349365
34,-0.7587514519691467
35,-1.5332649946212769
36,-1.7836823463439941
37,-1.234653353691101
38,-1.4149991273880005
39,-1.173603892326355
40,-1.2369667291641235
41,-1.170860767364502
42,-0.33175331354141235
43,-0.8737265467643738
44,-1.8703914880752563
45,-1.0407369136810303
46,-2.3973872661590576
47,-0.5195379257202148
48,-2.455906629562378
49,-0.01770259067416191
50,-2.28132700920105
51,-0.606634795665741
52,-1.0352094173431396
53,-1.1169543266296387
54,-1.8532174825668335
55,-0.882854700088501
56,-1.3386595249176025
57,-0.8661288619041443
58,-0.6662344336509705
59,-1.5700989961624146
60,-1.1895103454589844
61,-1.7027204036712646
62,-1.67626953125
63,1.269400954246521
64,-1.5263442993164062
65,-0.615965723991394
66,-2.166079521179199
67,-2.0350639820098877
68,-1.449798822402954
69,-2.3311727046966553
70,-2.060497999191284
71,-2.3866982460021973
72,-0.8607489466667175
73,-1.0511934757232666
74,-1.96206796169281
75,-0.5012621283531189
76,-2.283438205718994
77,-1.1307332515716553
78,-1.6270332336425781
79,-0.7730729579925537
80,-1.8810596466064453
81,-2.5871527194976807
82,-1.948017954826355
83,-1.1889216899871826
84,-1.4958423376083374
85,-1.0015504360198975
86,-0.5296179056167603
87,-1.8768408298492432
88,-1.489283800125122
89,-1.249577522277832
90,-1.7881944179534912
91,-1.2041116952896118
92,-0.838115394115448
93,-1.4173979759216309
94,-2.1100680828094482
95,0.4285911023616791
96,-1.538063883781433
97,-1.4603474140167236
98,-2.480259418487549
99,-0.7138282060623169
100,-1.1447871923446655
101,-0.34465092420578003
102,-2.6611688137054443
103,-0.5442860722541809
104,0.1685885488986969
105,-0.681881308555603
106,-2.065533399581909
107,-1.0892075300216675
108,-1.462965488433838
109,0.8085976243019104
110,-1.2617015838623047
111,-3.5947656631469727
112,0.15070724487304688
113,-1.9176427125930786
114,-1.1454194784164429
115,-2.456644058227539
116,-1.5895196199417114
117,-1.7539348602294922
118,-2.6800551414489746
119,-2.046692132949829
120,-2.6881027221679688
121,-0.6292729377746582
122,-3.118914842605591
123,-0.86723792552948
124,-1.908341646194458
125,-1.4002305269241333
126,-1.9023407697677612
127,-1.489612102508545
128,-1.241044521331787
129,-0.5365477800369263
130,0.5609573125839233
131,-1.5132439136505127
132,-1.0474809408187866
133,-1.6354316473007202
134,-1.754460096359253
135,-1.5048214197158813
136,-0.9171645045280457
137,-2.24363112449646
138,-1.7793563604354858
139,-2.272160530090332
140,-0.7727342247962952
141,0.45962125062942505
142,-0.14104020595550537
143,-1.4439445734024048
144,-1.2718051671981812
145,0.580679714679718
146,0.3665666878223419
147,-1.3884345293045044
148,-3.4976208209991455
149,-0.9145703315734863
150,-1.565754771232605
151,-2.2954211235046387
152,-1.5017937421798706
153,-2.6470441818237305
154,-1.963975191116333
155,-1.8823304176330566
156,-1.0746300220489502
157,-0.9331265091896057
158,-0.8370612859725952
159,-1.3603934049606323
160,-2.190234899520874
161,-3.657717227935791
162,-1.9400219917297363
163,-1.091327428817749
164,-2.2409825325012207
165,-2.111520290374756
166,-2.377375364303589
167,-1.836667537689209
168,-3.101017713546753
169,-0.7818356156349182
170,-0.9833194613456726
171,-2.0494747161865234
172,-2.535071611404419
173,-1.6870819330215454
174,-0.7224154472351074
175,-1.0596107244491577
176,-1.947487235069275
177,0.3282172977924347
178,-0.32095369696617126
179,-1.5088303089141846
180,-2.433429479598999
181,-2.917469024658203
182,-3.388897657394409
183,-1.9271705150604248
184,-1.0487186908721924
185,-1.2060248851776123
186,-2.332279682159424
187,-0.7207592725753784
188,-1.7379432916641235
189,-0.4546092450618744
190,-2.190497636795044
191,-0.6544768810272217
192,3.4137463569641113
193,-0.9237529635429382
194,-0.6234451532363892
195,-0.9409629106521606
196,-2.076190710067749
197,-1.8437832593917847
198,-1.2252458333969116
199,0.08968983590602875
200,-1.3426662683486938
201,-0.9263909459114075
202,-1.5000982284545898
203,-1.9839147329330444
204,-0.34870025515556335
205,-1.0529279708862305
206,-1.9062670469284058
207,-0.6019622087478638
208,0.0983750969171524
209,-1.0207880735397339
210,-3.2826144695281982
211,-1.8346290588378906
212,-3.0143685340881348
213,-1.1367138624191284
214,-1.2568625211715698
215,0.5208726525306702
216,-1.2437248229980469
217,-2.1404099464416504
218,-1.5906789302825928
219,-1.2605574131011963
220,-2.01519513130188
221,-0.4443335235118866
222,-1.3472243547439575
223,-0.8228961825370789
224,-0.9168120622634888
225,0.5544517636299133
226,-2.2858126163482666
227,-2.506547212600708
228,-2.3912861347198486
229,-1.5891568660736084
230,-0.3464021682739258
231,-0.5607630014419556
232,-1.161242127418518
233,-2.7206926345825195
234,-1.4747602939605713
235,-0.9108012318611145
236,-2.49392032623291
237,-1.0276315212249756
238,-0.785529613494873
239,-1.564349889755249
240,-0.8398725986480713
241,-1.8591653108596802
242,-2.3891468048095703
243,-2.6413004398345947
244,-1.4358617067337036
245,-0.3123875558376312
246,-1.358630895614624
247,-1.3673008680343628
248,-0.7089794874191284
249,-0.8511472940444946
250,-2.040046215057373
251,-1.7988172769546509
252,-0.6062257289886475
253,-0.6312791109085083
254,-0.16232681274414062
255,-1.4787638187408447
256,-2.26845121383667
257,-1.4397108554840088
258,-1.2243653535842896
259,0.8889752626419067
260,-0.4380323588848114
261,-2.473299741744995
262,-1.859563946723938
263,-0.5536912083625793
264,-1.3782775402069092
265,-0.005566807463765144
266,-1.7234989404678345
267,-1.9576600790023804
268,-1.7653989791870117
269,-1.36446213722229
270,-0.8440418839454651
271,-2.0719664096832275
272,-1.5484027862548828
273,-2.6406424045562744
274,-1.0597535371780396
275,-1.7474515438079834
276,-2.5725667476654053
277,-1.790611743927002
278,-0.3396364748477936
279,0.8017398715019226
280,-1.2983425855636597
281,-1.7215358018875122
282,-3.3758702278137207
283,-0.7721062302589417
284,-1.8939661979675293
285,-1.594447135925293
286,-1.642598032951355
287,-2.9272067546844482
288,-0.9408242702484131
289,-2.5961506366729736
290,-1.9743058681488037
291,-2.143714189529419
292,-1.3992366790771484
293,0.2878807485103607
294,-1.5666106939315796
295,-3.0707993507385254
296,-1.4171284437179565
297,-1.9620016813278198
298,-1.1372579336166382
299,-0.07115969061851501
300,-2.6259915828704834
301,-2.7879068851470947
302,-1.4610627889633179
303,-1.4554065465927124
304,-1.6405099630355835
305,-2.1833205223083496
306,-2.256135940551758
307,-0.1389012485742569
308,-1.1011803150177002
309,-1.6622122526168823
310,-0.06856366991996765
311,-0.5722246766090393
312,-0.02020014263689518
313,-2.7528693675994873
314,-1.2560609579086304
315,-1.1570522785186768
316,-2.805551767349243
317,-2.794405221939087
318,-0.7497377991676331
319,-0.34814807772636414
320,-1.6727972030639648
321,-0.7756112813949585
322,-1.2874037027359009
323,-2.178574562072754
324,-1.9902673959732056
325,-2.19558048248291
326,-0.9247721433639526
327,-0.30821481347084045
328,-0.5271826386451721
329,-2.133873701095581
330,-0.47582074999809265
331,-2.7960386276245117
332,0.06768433004617691
333,-1.446183443069458
334,-1.4863582849502563
335,-1.646496057510376
336,-2.426804780960083
337,-2.4427378177642822
338,-0.8042367100715637
339,-0.9435252547264099
340,-1.2014460563659668
341,-1.216040015220642
342,-2.6671106815338135
343,-2.135791301727295
344,-1.3750417232513428
345,-1.365087866783142
346,-1.5444177389144897
347,-1.5985922813415527
348,-1.8272044658660889
349,-1.6184475421905518
350,-1.0436965227127075
351,-0.6016381978988647
352,-2.173130750656128
353,-1.6921342611312866
354,-1.068332552909851
355,-0.9523877501487732
356,-3.950742721557617
357,-3.268918037414551
358,-0.9451455473899841
359,-2.51462721824646
360,-0.16409602761268616
361,-1.6431618928909302
362,-2.024434804916382
363,-1.0130213499069214
364,-0.6524316668510437
365,-1.092362403869629
366,-1.9602024555206299
367,-1.3863290548324585
368,-0.9775865077972412
369,-1.0564308166503906
370,-0.8884796500205994
371,-2.6334691047668457
372,-0.8909661769866943
373,-2.3571784496307373
374,-0.9724113941192627
375,-1.442325234413147
376,-0.8097991347312927
377,-2.54571533203125
378,-0.9890803694725037
379,-1.7104039192199707
380,-1.041696548461914
381,-1.1663823127746582
382,-2.9555368423461914
383,-2.689971446990967
384,0.17771349847316742
385,-2.4384748935699463
386,-2.1155576705932617
387,-0.12949290871620178
388,-1.3828409910202026
389,0.6433786749839783
390,-2.1318156719207764
391,-2.36596417427063
392,-1.3027491569519043
393,-0.6124931573867798
394,-2.721378803253174
395,-0.6519255042076111
396,-2.7569799423217773
397,-0.02200588583946228
398,-0.12703543901443481
399,1.1132227182388306
400,-0.6688002943992615
401,0.030389737337827682
402,-0.18935586512088776
403,-1.0038684606552124
404,-0.9385955929756165
405,-0.15995240211486816
406,-2.8761274814605713
407,-2.414433002471924
408,-3.5354270935058594
409,-1.9769179821014404
410,-0.4399993419647217
411,-2.115844964981079
412,-2.0193498134613037
413,0.8675521612167358
414,-1.1747132539749146
415,-1.735700011253357
416,-0.9526620507240295
417,-0.4383755326271057
418,-0.24935701489448547
419,-2.3162643909454346
420,0.8975465297698975
421,0.6090001463890076
422,-2.230353355407715
423,1.2771031856536865
