,mean,sd
187,-0.53693724,0.15057325
188,-0.61285824,0.20615008
189,-0.59664327,0.16443153
190,-0.48698634,0.1856588
191,-0.03396038,0.2158919
192,-0.62458104,0.16414501
193,-0.48030734,0.18317379
194,-0.58930147,0.12988396
195,-0.582932,0.2112877
196,-0.4965245,0.22747491
197,-1.0439782,0.24961658
198,-0.5936938,0.15846786
199,-0.61469764,0.17283612
200,-0.65926516,0.2382236
201,-0.67326844,0.19836777
202,-0.99728096,0.23754278
203,-0.74676085,0.30046016
204,-0.51630515,0.24150415
205,-1.0984453,0.19583471
206,-1.2530743,0.28662944
207,-0.51350784,0.15778576
208,-0.48406738,0.17582722
209,-0.11243932,0.2783675
210,-0.5730932,0.22548506
211,-0.5339055,0.20109484
212,-0.5358657,0.20229828
213,-1.2081138,0.17682408
214,-0.66329074,0.17057705
215,-0.50008774,0.20551345
216,-0.62931937,0.26358593
217,-0.08803483,0.19720432
218,-0.78728515,0.21244223
219,-0.7366897,0.18706043
220,-0.63283384,0.18176167
221,-0.83454925,0.23721159
222,-0.5055359,0.1688509
223,-0.55408794,0.122353315
224,-0.73484474,0.18011205
225,-0.50791585,0.21668525
226,-0.67708975,0.22989036
227,-0.8189321,0.17388825
228,-0.5362561,0.17154424
229,-0.53659165,0.15425211
230,-0.50917643,0.1775013
231,-0.6311025,0.21664302
232,-0.6088047,0.1997235
233,0.06725448,0.23462558
234,-0.8378683,0.20752424
235,-0.99039185,0.25999618
236,-0.56002915,0.20687918
237,-0.47542828,0.12878521
238,-0.6075675,0.22309768
239,-0.03512394,0.16961263
240,-0.79836434,0.25711724
241,-0.80505735,0.15974125
242,-0.24135366,0.18489793
243,-1.1753479,0.21803848
244,-0.50594527,0.139832
245,-0.6737078,0.25088027
246,-0.8106958,0.18620454
247,-0.5967535,0.13717383
248,-1.0703896,0.20778829
249,-0.64035714,0.27172595
250,-0.3814299,0.17228189
251,-0.64259374,0.30632997
252,-0.74183935,0.1909099
253,-0.9149376,0.24995643
254,-0.6573623,0.12585983
255,-0.51378435,0.1701555
256,-0.65773827,0.1310612
257,-0.5525836,0.17976111
258,-0.56519896,0.19128558
259,-0.93930054,0.19923127
260,-0.61943996,0.23945867
261,-0.38471258,0.10826326
262,-0.649561,0.22106539
263,-0.2511191,0.2150917
264,-0.27670068,0.19746763
265,-0.80895674,0.17789324
266,-0.18129055,0.17085621
267,-0.5398479,0.16867341
268,-0.66814935,0.14688362
269,-0.5780364,0.15861484
270,-0.91344213,0.17396462
271,-0.81940234,0.21015397
272,-0.56773114,0.22880706
273,-0.55136985,0.18393944
274,-0.5565093,0.18144754
275,-0.45515323,0.19483083
276,-0.50692064,0.1494067
277,-1.0877444,0.19528596
278,-0.89802134,0.22078383
279,-0.45875576,0.19923387
280,-1.2520036,0.22733338
281,-0.64359766,0.15818371
282,-0.5610981,0.14250833
283,-0.48747543,0.16438206
284,0.072081335,0.20522709
285,-0.8030662,0.1964166
286,-0.75037664,0.2108909
287,-0.64525694,0.12220722
288,-0.2776897,0.20578033
289,-0.800866,0.19987844
290,-0.8041837,0.28165007
291,-0.7345025,0.2415645
292,-0.66324294,0.18481459
293,-0.6778231,0.1883793
294,-1.3516927,0.19544876
295,-0.57052946,0.19007406
296,-0.69341195,0.13594633
297,-0.7879465,0.118270986
298,-0.5183433,0.14408542
299,-0.76308936,0.19509315
300,-0.7301608,0.23811847
301,-0.5122656,0.2446455
302,-0.7806187,0.24603565
303,-0.4752182,0.18549155
304,-0.54425603,0.16913451
305,-0.36603487,0.1982561
306,-1.0486952,0.26498586
307,-0.3947325,0.20812967
308,-0.5699539,0.25419134
309,-0.588494,0.20939113
310,-0.31512624,0.2172439
311,-0.9528878,0.17763336
312,-0.86065763,0.234131
313,-0.4819974,0.31953862
314,-0.6142515,0.147299
315,-0.20340417,0.27074972
316,-0.47026062,0.20092092
317,-0.5047607,0.18642327
318,-0.6187587,0.23549035
319,-0.3136717,0.25766668
320,-0.67518705,0.14860408
321,-0.565686,0.17797151
322,-0.43006855,0.28896818
323,-0.36769593,0.28949407
324,-0.50246084,0.19607241
325,-0.7556319,0.14558885
326,-0.36668196,0.14253183
327,-0.5730627,0.25522098
328,-1.1275676,0.18410026
329,-0.5721538,0.20632567
330,-0.6355135,0.12828462
331,-0.68625414,0.1415647
332,-0.57897246,0.14728244
333,-0.46520096,0.175947
334,-0.3945699,0.21887192
335,-0.5622272,0.16031341
336,-0.38712022,0.15774304
337,-0.6807492,0.22781721
338,-0.76665777,0.20832622
339,-0.542663,0.21627241
340,-0.7449835,0.15998134
341,-0.92495507,0.23597679
342,-0.3691839,0.16697536
343,-0.5106578,0.17994197
344,-0.4944874,0.1649835
345,-0.67571074,0.22067933
346,-0.503183,0.12488125
347,-0.745031,0.18188435
348,-0.50011045,0.15981331
349,-0.63671595,0.14682801
350,-0.44914994,0.15434058
351,-0.58610636,0.19697438
352,-0.84922963,0.14022355
353,-0.62736404,0.17873186
354,-0.60549283,0.17068613
355,-0.72309595,0.21896546
356,-0.55947626,0.18114337
357,-0.74402076,0.25737858
358,-1.0055028,0.21000847
359,-0.4437261,0.1874949
360,-0.48428145,0.113756634
361,-0.68632585,0.13926832
362,-0.5656936,0.23102127
363,-0.5069721,0.1779694
364,-0.49070185,0.19161032
365,-0.5943859,0.12540282
366,-0.57663727,0.25822666
367,-0.6033966,0.16591747
368,-0.73551893,0.21888347
369,-0.61371964,0.15674976
370,-0.56845236,0.16430464
371,-0.733832,0.21509963
372,-0.6218146,0.13412677
373,-0.5088155,0.24691726
374,-0.6161495,0.2011574
375,-0.77545106,0.24944393
376,-0.49475,0.17486642
377,-0.43707278,0.31578678
378,-0.42440364,0.22168422
379,-1.0766231,0.21392697
380,-0.69429773,0.25820723
381,-0.49939945,0.18192703
382,-0.6338902,0.19676313
383,-0.33762008,0.31411204
384,-0.60850954,0.19080918
385,-0.30901584,0.2686046
386,-0.47971812,0.19922446
387,-0.85436875,0.15606877
388,-0.80698115,0.17059675
389,-0.39626634,0.1401047
390,-0.7089869,0.13625607
391,-0.67937106,0.20431758
392,-0.520427,0.21601568
393,-0.57037044,0.22571783
394,-0.5548441,0.15494797
395,-0.69779253,0.1799631
396,-0.7903624,0.22936285
397,-0.87929755,0.18671347
398,-0.4725919,0.1420335
399,-0.64593434,0.099077694
400,-0.07530392,0.1721188
401,-0.5145413,0.11590956
402,-0.57032263,0.19034143
403,-1.0358517,0.20741467
404,-0.4826615,0.15941815
405,-0.62835526,0.14033845
406,-0.8575221,0.21537529
407,-1.2826593,0.28085858
408,-0.6538776,0.20041025
409,-0.70036006,0.2277711
410,-1.2506164,0.179718
411,-1.1641222,0.21536905
412,-0.8093513,0.20244598
413,-1.0003415,0.17950772
414,-0.6457756,0.21013492
415,-0.44805175,0.1517889
416,-0.85503364,0.18973038
417,-0.53260493,0.21466953
418,-1.2407616,0.17164086
419,-0.6815902,0.13407667
420,-0.78568643,0.22162205
421,-0.4601365,0.13431202
422,-0.79213125,0.20712459
423,-0.5286466,0.20239148
424,-1.4024218,0.19724418
425,-0.6183092,0.14471152
426,-0.59641814,0.19260584
427,-0.42933828,0.21818629
428,-0.17626306,0.20291626
429,-0.5214915,0.1362755
430,-0.7695626,0.265759
431,-0.4632344,0.16906856
432,-0.76187825,0.1758228
433,-0.52771205,0.15120338
434,-0.5627435,0.21926013
435,-0.566656,0.14386168
436,-0.43078616,0.16973588
437,-0.98707885,0.16835117
438,-0.66762733,0.13169852
439,-0.45827973,0.1929045
440,-0.41351876,0.23450269
441,-0.6887634,0.19524473
442,-0.45151833,0.23192836
443,-0.85366356,0.2661625
444,-0.73799217,0.20127042
445,-0.47666055,0.18560605
446,-0.6026517,0.15026331
447,-0.7360442,0.15863946
