neuron_id,activation_count
0,24160.0
1,11514.0
2,0.0
3,47350.0
4,0.0
5,35660.0
6,13.0
7,1869.0
8,0.0
9,2760.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,3281.0
16,0.0
17,0.0
18,0.0
19,0.0
20,21250.0
21,3548.0
22,0.0
23,174.0
24,4103.0
25,829.0
26,18476.0
27,4045.0
28,16559.0
29,5025.0
30,18286.0
31,9406.0
32,0.0
33,16.0
34,12347.0
35,0.0
36,13472.0
37,0.0
38,24790.0
39,110.0
40,39036.0
41,0.0
42,0.0
43,0.0
44,7580.0
45,574.0
46,0.0
47,0.0
48,25.0
49,0.0
50,0.0
51,2552.0
52,0.0
53,9903.0
54,22486.0
55,11690.0
56,0.0
57,8541.0
58,10809.0
59,0.0
60,14689.0
61,18405.0
62,0.0
63,2344.0
64,0.0
65,78.0
66,1504.0
67,8462.0
68,30771.0
69,22.0
70,8443.0
71,0.0
72,24667.0
73,1858.0
74,0.0
75,16005.0
76,0.0
77,219.0
78,792.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,7231.0
87,0.0
88,320.0
89,0.0
90,0.0
91,196.0
92,0.0
93,7435.0
94,19640.0
95,7004.0
96,0.0
97,72792.0
98,0.0
99,0.0
100,30848.0
101,4813.0
102,31234.0
103,1457.0
104,39.0
105,0.0
106,9384.0
107,4553.0
108,0.0
109,30660.0
110,0.0
111,0.0
112,20484.0
113,14691.0
114,14583.0
115,0.0
116,39494.0
117,24158.0
118,536.0
119,15355.0
120,0.0
121,1116.0
122,0.0
123,0.0
124,0.0
125,0.0
126,54919.0
127,0.0
128,0.0
129,0.0
130,0.0
131,7804.0
132,0.0
133,0.0
134,0.0
135,15031.0
136,9788.0
137,0.0
138,8792.0
139,45439.0
140,9.0
141,14007.0
142,574.0
143,268.0
144,21732.0
145,0.0
146,24959.0
147,7551.0
148,0.0
149,0.0
150,0.0
151,2527.0
152,0.0
153,10018.0
154,0.0
155,13027.0
156,0.0
157,16666.0
158,13818.0
159,0.0
160,0.0
161,13109.0
162,0.0
163,0.0
164,8639.0
165,0.0
166,0.0
167,0.0
168,0.0
169,916.0
170,20585.0
171,32.0
172,0.0
173,0.0
174,3223.0
175,0.0
176,0.0
177,43.0
178,6118.0
179,11268.0
180,1309.0
181,7.0
182,0.0
183,0.0
184,0.0
185,8215.0
186,6511.0
187,6616.0
188,0.0
189,11621.0
190,9537.0
191,11625.0
192,80.0
193,0.0
194,586.0
195,0.0
196,196.0
197,0.0
198,12811.0
199,2156.0
200,0.0
201,414.0
202,0.0
203,16837.0
204,16930.0
205,3216.0
206,11584.0
207,0.0
208,7362.0
209,2102.0
210,67.0
211,629.0
212,5551.0
213,0.0
214,0.0
215,0.0
216,18695.0
217,0.0
218,3039.0
219,0.0
220,1057.0
221,0.0
222,10751.0
223,18133.0
224,0.0
225,8859.0
226,1415.0
227,13783.0
228,0.0
229,0.0
230,13609.0
231,0.0
232,0.0
233,9926.0
234,179.0
235,0.0
236,6315.0
237,15389.0
238,4668.0
239,3277.0
240,228.0
241,13063.0
242,0.0
243,9540.0
244,0.0
245,11626.0
246,14783.0
247,9867.0
248,9125.0
249,1762.0
250,6.0
251,3081.0
252,14.0
253,11.0
254,0.0
255,31482.0
256,0.0
257,0.0
258,0.0
259,0.0
260,17286.0
261,0.0
262,14721.0
263,1758.0
