alpha_pop,cohens_d,alpha_unpop,ndcg,avgpop@10,gini@10,cov@10,covn@10,ndcgpassive@10,ndcgneutral@10,ndcgactive@10,ndcgtail@10,ndcghead@10,ndcgtailuser@10,ndcgmiduser@10,ndcgheaduser@10,epochtime
3,0.75,5,0.0725,2630.2555,0.9959,0.0587,0.0254,0.0682,0.0682,0.1114,0.0002999999999999947,0.0722,0.0736,0.0736,0.063,0.422827005
4,0.75,5,0.0712,2481.0862,0.9951,0.0655,0.0293,0.0672,0.0672,0.1071,0.0013999999999999985,0.0698,0.0721,0.0721,0.0629,0.421791553
5,0.75,5,0.0634,1982.1118,0.9933,0.0853,0.0406,0.0599,0.0599,0.0948,0.003799999999999998,0.0596,0.0642,0.0642,0.0564,0.422630787
6,0.75,5,0.0424,1210.0768,0.9908,0.101,0.0579,0.0403,0.0403,0.062,0.0059000000000000025,0.0365,0.0429,0.0429,0.0381,0.422894478
0,0.75,6,0.0707,2718.7281,0.9964,0.0513,0.0183,0.067,0.067,0.1046,0.0,0.0707,0.0715,0.0715,0.0633,0.423079491
1,0.75,6,0.0713,2702.0655,0.9963,0.0509,0.0191,0.0673,0.0673,0.1076,0.0,0.0713,0.0722,0.0722,0.0639,0.423320055
2,0.75,6,0.0722,2672.5274,0.9962,0.0521,0.022,0.068,0.068,0.1102,0.00010000000000000286,0.0721,0.0731,0.0731,0.064,0.424433708
3,0.75,6,0.0725,2630.2787,0.9959,0.0587,0.0254,0.0682,0.0682,0.1114,0.0002999999999999947,0.0722,0.0736,0.0736,0.063,0.422701597
4,0.75,6,0.0712,2481.0906,0.9951,0.0655,0.0293,0.0672,0.0672,0.1071,0.0013999999999999985,0.0698,0.0721,0.0721,0.0629,0.426339626
5,0.75,6,0.0634,1982.1118,0.9933,0.0853,0.0406,0.0599,0.0599,0.0948,0.003799999999999998,0.0596,0.0642,0.0642,0.0564,0.426012278
6,0.75,6,0.0424,1210.0768,0.9908,0.101,0.0579,0.0403,0.0403,0.062,0.0059000000000000025,0.0365,0.0429,0.0429,0.0381,0.423349857
0,1.0,0,0.0703,2722.4528,0.9965,0.0506,0.0178,0.0667,0.0667,0.1026,0.0,0.0703,0.0711,0.0711,0.0628,0.401509285
1,1.0,0,0.07,2720.9425,0.9964,0.0501,0.0186,0.0663,0.0663,0.1027,0.0,0.07,0.0708,0.0708,0.0627,0.401067019
2,1.0,0,0.0698,2714.0706,0.9963,0.0496,0.0222,0.0663,0.0663,0.1014,0.0,0.0698,0.0706,0.0706,0.0623,0.400771856
3,1.0,0,0.0698,2693.7197,0.9961,0.0619,0.0252,0.0661,0.0661,0.1022,0.00020000000000000573,0.0696,0.0706,0.0706,0.0619,0.398983717
4,1.0,0,0.0695,2595.9978,0.9955,0.0707,0.0291,0.066,0.066,0.1014,0.000800000000000009,0.0687,0.0703,0.0703,0.0625,0.400819063
5,1.0,0,0.0633,2245.6352,0.9935,0.0941,0.0455,0.0603,0.0603,0.0897,0.002799999999999997,0.0605,0.0638,0.0638,0.058,0.400096178
6,1.0,0,0.04,1485.7491,0.9901,0.1142,0.0623,0.0395,0.0395,0.0447,0.004400000000000001,0.0356,0.0403,0.0403,0.038,0.400989532
0,1.0,1,0.0703,2717.099,0.9964,0.0501,0.0181,0.0666,0.0666,0.1042,0.0,0.0703,0.0713,0.0713,0.0617,0.40003252
1,1.0,1,0.0701,2715.642,0.9964,0.0501,0.0186,0.0663,0.0663,0.1043,0.0,0.0701,0.0711,0.0711,0.0617,0.402108192
2,1.0,1,0.07,2708.8328,0.9963,0.0491,0.0222,0.0663,0.0663,0.1034,0.0,0.07,0.071,0.071,0.0616,0.399716377
3,1.0,1,0.07,2689.2638,0.9961,0.0614,0.0249,0.0663,0.0663,0.1035,0.00010000000000000286,0.0699,0.0709,0.0709,0.0622,0.400887728
4,1.0,1,0.0696,2592.1945,0.9954,0.0704,0.0293,0.066,0.066,0.1018,0.0007999999999999952,0.0688,0.0704,0.0704,0.0623,0.399322033
5,1.0,1,0.0623,2231.3165,0.9934,0.0941,0.0462,0.0593,0.0593,0.089,0.002800000000000004,0.0595,0.0629,0.0629,0.0562,0.400027514
6,1.0,1,0.0382,1399.3937,0.99,0.1149,0.0614,0.0376,0.0376,0.044,0.004499999999999997,0.0337,0.0384,0.0384,0.0365,0.400159597
0,1.0,2,0.0703,2717.7934,0.9964,0.0501,0.0181,0.0666,0.0666,0.1042,0.0,0.0703,0.0713,0.0713,0.062,0.399464369
