alpha_pop,cohens_d,alpha_unpop,ndcg,avgpop@10,gini@10,cov@10,covn@10,ndcgpassive@10,ndcgneutral@10,ndcgactive@10,ndcgtail@10,ndcghead@10,ndcgtailuser@10,ndcgmiduser@10,ndcgheaduser@10,epochtime
1,0.25,2,0.0706,2702.5957,0.9962,0.0533,0.0203,0.0666,0.0666,0.1063,0.00010000000000000286,0.0705,0.0714,0.0714,0.063,0.483919859
2,0.25,2,0.0712,2648.7621,0.996,0.0606,0.0232,0.0671,0.0671,0.1078,0.0002999999999999947,0.0709,0.072,0.072,0.0639,0.484804392
3,0.25,2,0.071,2558.3197,0.9955,0.0711,0.0293,0.0668,0.0668,0.1083,0.0006999999999999923,0.0703,0.0718,0.0718,0.0631,0.483695984
4,0.25,2,0.0683,2349.1164,0.9946,0.0824,0.0369,0.0643,0.0643,0.1044,0.0016999999999999932,0.0666,0.0692,0.0692,0.0602,0.484239817
5,0.25,2,0.0613,1836.1124,0.9925,0.0993,0.0511,0.0574,0.0574,0.0962,0.0039000000000000007,0.0574,0.0621,0.0621,0.0536,0.486818075
6,0.25,2,0.0394,872.1066,0.9887,0.1166,0.0716,0.0356,0.0356,0.0739,0.0058999999999999955,0.0335,0.0402,0.0402,0.0327,0.482939243
0,0.25,3,0.0693,2743.9426,0.9964,0.0513,0.0174,0.0659,0.0659,0.0996,0.0,0.0693,0.0699,0.0699,0.0636,0.483567238
1,0.25,3,0.07,2708.2924,0.9962,0.0531,0.0205,0.0661,0.0661,0.1057,0.00010000000000000286,0.0699,0.0708,0.0708,0.0634,0.484561205
2,0.25,3,0.0712,2649.1933,0.996,0.0628,0.0237,0.0671,0.0671,0.1076,0.0002999999999999947,0.0709,0.0719,0.0719,0.0642,0.488059998
3,0.25,3,0.0705,2549.6872,0.9955,0.0714,0.0289,0.0663,0.0663,0.1081,0.0007999999999999952,0.0697,0.0712,0.0712,0.0634,0.485179663
4,0.25,3,0.0674,2316.9186,0.9945,0.0819,0.0369,0.0634,0.0634,0.1034,0.001899999999999999,0.0655,0.0682,0.0682,0.0601,0.483834982
5,0.25,3,0.0605,1784.9723,0.9924,0.0988,0.0511,0.0565,0.0565,0.0965,0.0040999999999999995,0.0564,0.0614,0.0614,0.0521,0.484167099
6,0.25,3,0.0381,841.8775,0.9888,0.1149,0.0711,0.0342,0.0342,0.0733,0.006000000000000005,0.0321,0.0388,0.0388,0.0317,0.483986378
0,0.25,4,0.0692,2749.4555,0.9964,0.0511,0.0176,0.0657,0.0657,0.1013,0.0,0.0692,0.0699,0.0699,0.0635,0.486322165
1,0.25,4,0.0698,2711.0137,0.9962,0.0535,0.0203,0.0658,0.0658,0.1062,0.00010000000000000286,0.0697,0.0706,0.0706,0.063,0.48688221
2,0.25,4,0.0712,2645.6295,0.9959,0.0626,0.0235,0.0671,0.0671,0.1075,0.0003999999999999976,0.0708,0.0719,0.0719,0.0649,0.484436274
3,0.25,4,0.0702,2535.1222,0.9954,0.0716,0.0291,0.0662,0.0662,0.1071,0.0007999999999999952,0.0694,0.0711,0.0711,0.0629,0.486929893
4,0.25,4,0.0676,2286.5856,0.9944,0.0812,0.0369,0.0636,0.0636,0.1028,0.0021999999999999936,0.0654,0.0683,0.0683,0.0606,0.487024546
5,0.25,4,0.0601,1743.3685,0.9923,0.0998,0.0511,0.056,0.056,0.0965,0.004299999999999998,0.0558,0.061,0.061,0.052,0.484239578
6,0.25,4,0.0375,827.1765,0.9888,0.1154,0.0707,0.0335,0.0335,0.073,0.005999999999999998,0.0315,0.0381,0.0381,0.0313,0.490055561
0,0.25,5,0.0694,2750.5142,0.9964,0.0506,0.0178,0.0657,0.0657,0.1029,0.0,0.0694,0.0699,0.0699,0.0644,0.483423948
1,0.25,5,0.0701,2708.7713,0.9962,0.0543,0.0205,0.0661,0.0661,0.1068,9.999999999998899e-05,0.07,0.0709,0.0709,0.0635,0.487362146
2,0.25,5,0.0712,2638.006,0.9959,0.0633,0.0232,0.0671,0.0671,0.1085,0.0002999999999999947,0.0709,0.072,0.072,0.0645,0.481271744
3,0.25,5,0.0701,2519.6907,0.9953,0.0721,0.0291,0.066,0.066,0.1069,0.0010000000000000009,0.0691,0.0709,0.0709,0.063,0.482910156
4,0.25,5,0.0674,2258.9947,0.9943,0.0817,0.0369,0.0635,0.0635,0.1026,0.0022999999999999965,0.0651,0.0682,0.0682,0.0603,0.486192465
5,0.25,5,0.0596,1707.7761,0.9922,0.0995,0.0509,0.0556,0.0556,0.0962,0.004400000000000001,0.0552,0.0605,0.0605,0.0521,0.48344636
6,0.25,5,0.0373,823.1287,0.9888,0.1154,0.0707,0.0333,0.0333,0.073,0.005999999999999998,0.0313,0.038,0.038,0.0311,0.484266043
0,0.25,6,0.0695,2748.3174,0.9964,0.0504,0.0178,0.0658,0.0658,0.1032,0.0,0.0695,0.0701,0.0701,0.0647,0.48312521
1,0.25,6,0.0705,2703.7087,0.9962,0.0545,0.0208,0.0664,0.0664,0.1074,0.00019999999999999185,0.0703,0.0712,0.0712,0.0641,0.483942032
2,0.25,6,0.0713,2629.5176,0.9959,0.0643,0.0235,0.0672,0.0672,0.1087,0.0003999999999999976,0.0709,0.0721,0.0721,0.0645,0.492790222
3,0.25,6,0.0701,2501.1771,0.9953,0.0724,0.0293,0.066,0.066,0.1069,0.0010999999999999899,0.069,0.0709,0.0709,0.0628,0.483128786
4,0.25,6,0.0673,2231.5555,0.9943,0.0817,0.0372,0.0633,0.0633,0.1029,0.0025000000000000022,0.0648,0.0681,0.0681,0.0602,0.486494541
5,0.25,6,0.0596,1686.8174,0.9922,0.0995,0.0509,0.0554,0.0554,0.0967,0.0046,0.055,0.0604,0.0604,0.0521,0.483614922
6,0.25,6,0.0373,822.6257,0.9888,0.1154,0.0707,0.0333,0.0333,0.073,0.006100000000000001,0.0312,0.038,0.038,0.031,0.483276606
0,0.5,0,0.0703,2722.4528,0.9965,0.0506,0.0178,0.0667,0.0667,0.1026,0.0,0.0703,0.0711,0.0711,0.0628,0.449288607
1,0.5,0,0.0709,2701.0268,0.9964,0.0528,0.02,0.067,0.067,0.1052,0.00010000000000000286,0.0708,0.0718,0.0718,0.0627,0.451878309
2,0.5,0,0.0714,2667.6004,0.9962,0.0587,0.024,0.0674,0.0674,0.108,0.00010000000000000286,0.0713,0.0724,0.0724,0.0631,0.451561451
3,0.5,0,0.0712,2617.8333,0.9958,0.0714,0.0291,0.0671,0.0671,0.1079,0.0002999999999999947,0.0709,0.0723,0.0723,0.0613,0.451745987
4,0.5,0,0.0707,2494.2926,0.9951,0.0839,0.0372,0.0667,0.0667,0.1067,0.0010000000000000009,0.0697,0.0716,0.0716,0.0626,0.450483322
5,0.5,0,0.0651,2070.1198,0.9931,0.1012,0.0513,0.0615,0.0615,0.0977,0.002800000000000004,0.0623,0.066,0.066,0.057,0.449239969
6,0.5,0,0.0458,1173.085,0.9888,0.1156,0.0724,0.0425,0.0425,0.0751,0.005200000000000003,0.0406,0.0465,0.0465,0.0391,0.450417519
0,0.5,1,0.0702,2716.0868,0.9964,0.0509,0.0183,0.0665,0.0665,0.1037,0.0,0.0702,0.0711,0.0711,0.0627,0.449492216
1,0.5,1,0.0708,2693.6927,0.9963,0.0523,0.0203,0.0668,0.0668,0.1066,0.0,0.0708,0.0717,0.0717,0.0629,0.449318409
2,0.5,1,0.0713,2657.292,0.9961,0.0601,0.024,0.0671,0.0671,0.1088,0.00010000000000000286,0.0712,0.0722,0.0722,0.0633,0.450140715
3,0.5,1,0.0713,2603.5766,0.9957,0.0716,0.0293,0.0672,0.0672,0.1077,0.0003000000000000086,0.071,0.0723,0.0723,0.0623,0.45061779
4,0.5,1,0.0701,2466.1649,0.9949,0.0841,0.0377,0.0661,0.0661,0.1065,0.0010999999999999899,0.069,0.0711,0.0711,0.0615,0.451649904
5,0.5,1,0.0626,1984.5042,0.9929,0.102,0.0518,0.0589,0.0589,0.0967,0.0030000000000000027,0.0596,0.0635,0.0635,0.0551,0.451005697
6,0.5,1,0.0399,934.8066,0.9885,0.1166,0.0721,0.0365,0.0365,0.0709,0.005699999999999997,0.0342,0.0405,0.0405,0.0345,0.450249434
0,0.5,2,0.0703,2719.3216,0.9963,0.0506,0.0186,0.0666,0.0666,0.1034,0.0,0.0703,0.071,0.071,0.0637,0.449218512
1,0.5,2,0.071,2696.4487,0.9963,0.0526,0.0205,0.067,0.067,0.1064,0.0,0.071,0.0718,0.0718,0.0639,0.448538065
2,0.5,2,0.0714,2657.8748,0.9961,0.0592,0.024,0.0673,0.0673,0.1087,0.00010000000000000286,0.0713,0.0723,0.0723,0.064,0.447680235
3,0.5,2,0.0711,2603.9306,0.9957,0.0724,0.0281,0.067,0.067,0.1077,0.0003999999999999976,0.0707,0.072,0.072,0.0624,0.448336124
4,0.5,2,0.0693,2460.6344,0.9949,0.0826,0.0372,0.0653,0.0653,0.1056,0.0012000000000000066,0.0681,0.0703,0.0703,0.0599,0.450274944
5,0.5,2,0.0619,1953.1311,0.9928,0.1007,0.0521,0.0581,0.0581,0.0959,0.0032999999999999974,0.0586,0.0627,0.0627,0.0539,0.448703527
6,0.5,2,0.0392,905.5031,0.9885,0.1147,0.0719,0.0359,0.0359,0.0694,0.005699999999999997,0.0335,0.0399,0.0399,0.0334,0.449608803
0,0.5,3,0.0704,2720.8651,0.9963,0.0506,0.0178,0.0667,0.0667,0.1035,0.0,0.0704,0.0711,0.0711,0.0638,0.450781107
1,0.5,3,0.0707,2697.5227,0.9962,0.0523,0.0208,0.0668,0.0668,0.1062,0.0,0.0707,0.0715,0.0715,0.0633,0.450945616
2,0.5,3,0.0712,2658.8526,0.9961,0.0592,0.0235,0.067,0.067,0.1087,0.00020000000000000573,0.071,0.072,0.072,0.0633,0.449602365
3,0.5,3,0.0709,2602.9859,0.9957,0.0731,0.0279,0.0669,0.0669,0.1072,0.00040000000000001146,0.0705,0.0719,0.0719,0.0622,0.45880127
4,0.5,3,0.069,2451.021,0.9949,0.0831,0.0372,0.0649,0.0649,0.1053,0.0012000000000000066,0.0678,0.0701,0.0701,0.0594,0.449753523
5,0.5,3,0.0616,1939.8539,0.9928,0.1007,0.0523,0.0578,0.0578,0.0952,0.0033000000000000043,0.0583,0.0624,0.0624,0.0539,0.450114727
6,0.5,3,0.0392,904.3401,0.9885,0.1144,0.0724,0.0358,0.0358,0.0694,0.0058,0.0334,0.0398,0.0398,0.0333,0.45158267
0,0.5,4,0.0704,2720.89,0.9963,0.0506,0.0181,0.0667,0.0667,0.1039,0.0,0.0704,0.0712,0.0712,0.0636,0.452156782
1,0.5,4,0.071,2697.5955,0.9962,0.0526,0.0205,0.0671,0.0671,0.106,9.999999999998899e-05,0.0709,0.0718,0.0718,0.0634,0.452199936
2,0.5,4,0.0712,2658.5938,0.9961,0.0589,0.0235,0.0671,0.0671,0.108,0.00020000000000000573,0.071,0.0721,0.0721,0.0631,0.450978994
3,0.5,4,0.0709,2601.363,0.9957,0.0726,0.0284,0.0668,0.0668,0.1077,0.00040000000000001146,0.0705,0.0719,0.0719,0.0619,0.453775406
4,0.5,4,0.0688,2447.2222,0.9948,0.0826,0.0372,0.0648,0.0648,0.1048,0.0012000000000000066,0.0676,0.0699,0.0699,0.0593,0.45019412
5,0.5,4,0.0615,1939.426,0.9928,0.1007,0.0523,0.0578,0.0578,0.0953,0.0032000000000000015,0.0583,0.0624,0.0624,0.0539,0.450438738
6,0.5,4,0.0392,904.2551,0.9885,0.1147,0.0724,0.0358,0.0358,0.0694,0.0058,0.0334,0.0398,0.0398,0.0333,0.451411963
0,0.5,5,0.0705,2720.9735,0.9963,0.0506,0.0178,0.0668,0.0668,0.1038,0.0,0.0705,0.0713,0.0713,0.0639,0.451634407
1,0.5,5,0.0711,2697.6664,0.9962,0.0526,0.0205,0.0672,0.0672,0.1062,0.00010000000000000286,0.071,0.0719,0.0719,0.0634,0.453875065
2,0.5,5,0.0711,2658.6976,0.9961,0.0589,0.0235,0.0671,0.0671,0.108,0.00010000000000000286,0.071,0.0721,0.0721,0.063,0.451174498
3,0.5,5,0.0709,2601.3064,0.9957,0.0726,0.0284,0.0668,0.0668,0.1077,0.00040000000000001146,0.0705,0.0719,0.0719,0.062,0.45156312
4,0.5,5,0.0688,2447.1833,0.9948,0.0824,0.0372,0.0648,0.0648,0.1048,0.0012000000000000066,0.0676,0.0699,0.0699,0.0593,0.451631546
5,0.5,5,0.0615,1939.3825,0.9928,0.1005,0.0523,0.0578,0.0578,0.0953,0.0032000000000000015,0.0583,0.0624,0.0624,0.0539,0.450832129
6,0.5,5,0.0392,904.2492,0.9885,0.1147,0.0721,0.0358,0.0358,0.0694,0.0058,0.0334,0.0398,0.0398,0.0333,0.450461149
0,0.5,6,0.0705,2721.0607,0.9963,0.0506,0.0178,0.0668,0.0668,0.1038,0.0,0.0705,0.0712,0.0712,0.0638,0.451100349
1,0.5,6,0.0711,2697.7122,0.9962,0.0526,0.0205,0.0672,0.0672,0.1062,0.00010000000000000286,0.071,0.0719,0.0719,0.0633,0.451058388
2,0.5,6,0.0712,2658.7335,0.9961,0.0589,0.0235,0.0671,0.0671,0.108,0.00020000000000000573,0.071,0.0721,0.0721,0.063,0.450002193
3,0.5,6,0.0709,2601.3202,0.9957,0.0726,0.0284,0.0669,0.0669,0.1077,0.00040000000000001146,0.0705,0.0719,0.0719,0.062,0.450553656
4,0.5,6,0.0688,2447.1864,0.9948,0.0824,0.0372,0.0648,0.0648,0.1048,0.0012000000000000066,0.0676,0.0699,0.0699,0.0593,0.594728708
5,0.5,6,0.0615,1939.3845,0.9928,0.1005,0.0523,0.0578,0.0578,0.0953,0.0032000000000000015,0.0583,0.0624,0.0624,0.0539,0.451038361
6,0.5,6,0.0392,904.2492,0.9885,0.1147,0.0721,0.0358,0.0358,0.0694,0.0058,0.0334,0.0398,0.0398,0.0333,0.459753036
0,0.75,0,0.0703,2722.4528,0.9965,0.0506,0.0178,0.0667,0.0667,0.1026,0.0,0.0703,0.0711,0.0711,0.0628,0.423569679
