neuron,mean,sd
0,-0.2625434696674347,0.10525336861610413
1,-0.17798621952533722,0.0856156125664711
2,-0.24724531173706055,0.0877215564250946
3,-0.26414912939071655,0.0916338786482811
4,-0.20442979037761688,0.07486087828874588
5,-0.26982149481773376,0.08893653005361557
6,-0.2536219656467438,0.07801046222448349
7,-0.22889328002929688,0.11690151691436768
8,-0.13100412487983704,0.09710937738418579
9,-0.26168012619018555,0.08572694659233093
10,-0.2397463470697403,0.06645935773849487
11,-0.21697071194648743,0.08426476269960403
12,-0.22206762433052063,0.07326596975326538
13,-0.2964012324810028,0.10778055340051651
14,-0.24631094932556152,0.08853867650032043
15,-0.07762391120195389,0.07346747070550919
16,-0.13037194311618805,0.10139758884906769
17,-0.20536702871322632,0.09920495748519897
18,-0.09448244422674179,0.08148907124996185
19,-0.2627512216567993,0.07788414508104324
20,-0.21538113057613373,0.09410061687231064
21,-0.20920929312705994,0.13486671447753906
22,-0.10436435043811798,0.08963919430971146
23,-0.2188233882188797,0.09018947929143906
24,-0.2292127013206482,0.08341410756111145
25,-0.14693447947502136,0.09664846956729889
26,-0.2630111575126648,0.08301226794719696
27,-0.25353336334228516,0.08954207599163055
28,-0.23100794851779938,0.0850597694516182
29,-0.2310333549976349,0.07745544612407684
30,-0.11320161074399948,0.07111279666423798
31,-0.17896592617034912,0.0957537367939949
32,-0.2222679704427719,0.08883335441350937
33,-0.045265212655067444,0.09197548031806946
34,-0.04426420107483864,0.14978580176830292
35,-0.15650762617588043,0.07369264215230942
36,-0.2793084383010864,0.09062334150075912
37,-0.20165084302425385,0.08450295031070709
38,-0.20907503366470337,0.07268823683261871
39,-0.22226111590862274,0.08842291682958603
40,-0.16162973642349243,0.08083061873912811
41,-0.25034910440444946,0.07231877744197845
42,-0.030085446313023567,0.06613899767398834
43,-0.22518226504325867,0.09330855309963226
44,-0.20882576704025269,0.07338176667690277
45,-0.08856645971536636,0.09083835780620575
46,-0.1364704817533493,0.07794918864965439
47,-0.21775731444358826,0.08039164543151855
48,-0.1445237249135971,0.09209205955266953
49,-0.16506893932819366,0.08630736172199249
50,-0.2107471525669098,0.07909021526575089
51,-0.22017104923725128,0.09818169474601746
52,-0.3290524482727051,0.08334691822528839
53,-0.061954695731401443,0.1085616871714592
54,-0.10420947521924973,0.09453509002923965
55,-0.2385668158531189,0.13184508681297302
56,-0.1905200183391571,0.0798233225941658
57,-0.11657524853944778,0.08404531329870224
58,-0.18859700858592987,0.07281320542097092
59,-0.11034257709980011,0.0887148380279541
60,-0.14329513907432556,0.08947683870792389
61,-0.26195093989372253,0.08973827958106995
62,-0.24054741859436035,0.07392880320549011
63,-0.10026370733976364,0.08461815118789673
64,-0.24379651248455048,0.08391109853982925
65,-0.22640472650527954,0.07355261594057083
66,-0.238387793302536,0.09050942212343216
67,-0.28212347626686096,0.07536912709474564
68,-0.21941013634204865,0.08255673199892044
69,-0.22866833209991455,0.09838727861642838
70,-0.2094174027442932,0.0769982784986496
71,-0.2638542056083679,0.08016418665647507
72,-0.19626541435718536,0.07225941866636276
73,-0.2685641944408417,0.1009061336517334
74,-0.23005732893943787,0.06593838334083557
75,-0.2031848132610321,0.07340981066226959
76,-0.2033284455537796,0.0765940397977829
77,-0.19853392243385315,0.09511304646730423
78,-0.14106394350528717,0.07013934850692749
79,-0.25709351897239685,0.07443615794181824
80,-0.22862330079078674,0.07118693739175797
81,-0.28058797121047974,0.0796935185790062
82,-0.19072921574115753,0.06599082797765732
83,-0.33080828189849854,0.07984934747219086
84,-0.26583370566368103,0.07723315060138702
85,-0.24950049817562103,0.09625446051359177
86,-0.2395477145910263,0.09016497433185577
87,-0.22016140818595886,0.07166564464569092
88,-0.22539570927619934,0.08411043882369995
89,-0.14193181693553925,0.10011401772499084
90,-0.25779345631599426,0.07839454710483551
91,-0.24733059108257294,0.09380543231964111
92,-0.18209131062030792,0.08564294129610062
93,-0.16713440418243408,0.07008257508277893
94,-0.1900673806667328,0.07151235640048981
95,-0.2047039419412613,0.09742682427167892
96,-0.23701025545597076,0.0711934044957161
97,-0.20762227475643158,0.07472150027751923
98,-0.24230161309242249,0.08238603919744492
99,-0.04506121203303337,0.0948692113161087
100,-0.28090402483940125,0.09066475927829742
101,-0.24799275398254395,0.090361088514328
102,-0.16398929059505463,0.06403281539678574
103,-0.05378817394375801,0.06217881292104721
104,-0.12452850490808487,0.10927113145589828
105,-0.18645523488521576,0.08461359888315201
106,-0.22571849822998047,0.08885667473077774
107,-0.12303832918405533,0.0923866555094719
108,-0.25732046365737915,0.08757893741130829
109,-0.11258680373430252,0.07291022688150406
110,-0.22218890488147736,0.08108679950237274
111,-0.23643645644187927,0.0839962288737297
112,-0.23197588324546814,0.09091102331876755
113,-0.2729824483394623,0.08833538740873337
114,-0.17269575595855713,0.05683092772960663
115,-0.2424658089876175,0.07192572206258774
116,-0.15805725753307343,0.07491414248943329
117,-0.21558481454849243,0.07750212401151657
118,-0.2692749798297882,0.10103873908519745
119,-0.2552624046802521,0.08941897004842758
120,-0.21561777591705322,0.07470524311065674
121,-0.1535106748342514,0.06683862209320068
122,-0.2291593700647354,0.08808145672082901
123,-0.2067127823829651,0.10043692588806152
124,-0.15481626987457275,0.09043195843696594
125,-0.177732452750206,0.06325484067201614
126,-0.18376906216144562,0.07704664766788483
127,-0.25651705265045166,0.07438554614782333
128,-0.26457175612449646,0.08395390957593918
129,-0.3007507920265198,0.10885529965162277
130,-0.23859725892543793,0.08105233311653137
131,-0.2602068781852722,0.08498863875865936
132,-0.1713525503873825,0.09923753142356873
133,-0.256571888923645,0.0717376321554184
134,-0.29599475860595703,0.12370298057794571
135,-0.19822870194911957,0.07391893118619919
136,-0.2556586265563965,0.11113861203193665
137,-0.21821849048137665,0.07939465343952179
138,-0.25715041160583496,0.10217314958572388
139,-0.10239898413419724,0.10014179348945618
140,-0.1980883926153183,0.06877568364143372
141,-0.22062142193317413,0.08881434053182602
142,-0.27703723311424255,0.08638657629489899
143,-0.22871655225753784,0.0852382555603981
144,-0.20525217056274414,0.09263022243976593
145,-0.2246035784482956,0.0871942937374115
146,-0.2618093192577362,0.0675390437245369
147,-0.08041445910930634,0.07563690096139908
148,-0.21161071956157684,0.10630001127719879
149,-0.19896982610225677,0.07346634566783905
150,-0.14895465970039368,0.06511014699935913
151,-0.19937531650066376,0.08880659937858582
152,-0.22216570377349854,0.07634233683347702
153,-0.2542847990989685,0.08685092628002167
154,-0.1714860200881958,0.07547824829816818
155,-0.21618162095546722,0.07599716633558273
156,-0.1851271241903305,0.0754028931260109
157,-0.27006304264068604,0.0718827024102211
158,-0.20486298203468323,0.07674981653690338
159,-0.12706416845321655,0.08007151633501053
160,-0.05154198035597801,0.11016344279050827
161,-0.2533527910709381,0.05809207260608673
162,-0.29381147027015686,0.0868246778845787
163,-0.2444731742143631,0.07104624807834625
164,-0.26510798931121826,0.09004891663789749
165,-0.23052823543548584,0.09330713748931885
166,-0.24683918058872223,0.08394154906272888
167,-0.03607199341058731,0.24427461624145508
168,-0.21434634923934937,0.08216607570648193
169,-0.22492365539073944,0.09210832417011261
170,-0.18894551694393158,0.07771804183721542
171,-0.21689973771572113,0.07713297754526138
172,-0.20698478817939758,0.09186459332704544
173,-0.11940889060497284,0.10101612657308578
174,-0.25211426615715027,0.08170158416032791
175,-0.2101990282535553,0.08708105236291885
176,-0.025039803236722946,0.11455032974481583
177,-0.2086414098739624,0.09150214493274689
178,-0.23911260068416595,0.08483714610338211
179,-0.1279456466436386,0.06722982227802277
180,-0.27993661165237427,0.08890784531831741
181,-0.21224409341812134,0.08157616853713989
182,-0.2626509666442871,0.09128959476947784
183,-0.17293527722358704,0.06884489208459854
184,-0.26084914803504944,0.0876668393611908
