alpha_u,alpha_i,ndcg,mrr,hit,dltc@10,avgpop@10,gini@10,cov@10
0.0,0.0,0.0517,0.0851,0.2213,0.2107,235.2987,0.8938,0.4695
0.0,0.1,0.0517,0.0851,0.2213,0.2107,235.2987,0.8938,0.4695
0.0,0.5,0.0517,0.0851,0.2213,0.2107,235.2987,0.8938,0.4695
0.0,1,0.0517,0.0851,0.2213,0.2107,235.2987,0.8938,0.4695
0.0,1.5,0.0517,0.0851,0.2213,0.2107,235.2987,0.8938,0.4695
0.0,2.0,0.0517,0.0851,0.2213,0.2107,235.2987,0.8938,0.4695
0.0,2.5,0.0517,0.0851,0.2213,0.2107,235.2987,0.8938,0.4695
0.0,3.0,0.0517,0.0851,0.2213,0.2107,235.2987,0.8938,0.4695
