alpha_u,alpha_n,alpha_i,ndcg,avgpop@10,gini@10,cov@10,covn@10,ndcgpassive@10,ndcgneutral@10,ndcgactive@10,ndcgtail@10,ndcgmid@10,ndcghead@10,ndcgtailuser@10,ndcgmiduser@10,ndcgheaduser@10,epochtime
0,,0,0.0242,173.0568,0.8297,0.7039,0.3316,0.0246,0.0246,0.0204,0.0111,0.0111,0.0131,0.0219,0.0219,0.0447,0.8766353130340576
0.01,,0.0,0.0241,170.1898,0.8277,0.7063,0.3348,0.0246,0.0246,0.0203,0.0112,0.0112,0.013,0.0218,0.0218,0.0449,2.6883106231689453
0.05,,0.0,0.024,159.9919,0.8204,0.7148,0.3435,0.0244,0.0244,0.0202,0.0115,0.0115,0.0125,0.0217,0.0217,0.0439,2.6876490116119385
0.1,,0.0,0.0234,149.146,0.8125,0.7244,0.3534,0.0238,0.0238,0.0203,0.0118,0.0118,0.0116,0.0215,0.0215,0.0409,2.6880927085876465
0.2,,0.0,0.0225,132.277,0.799,0.7396,0.3703,0.0228,0.0228,0.0195,0.0123,0.0123,0.0102,0.0208,0.0208,0.0376,2.6878719329833984
0.4,,0.0,0.0217,111.3026,0.7813,0.7609,0.3934,0.0221,0.0221,0.0182,0.0131,0.0131,0.0086,0.0206,0.0206,0.032,2.687269926071167
0.6,,0.0,0.021,100.1637,0.7706,0.7722,0.4075,0.0213,0.0213,0.0175,0.0137,0.0137,0.0072,0.0201,0.0201,0.0286,2.68873929977417
0.8,,0.0,0.0208,93.3308,0.7636,0.7807,0.4176,0.0212,0.0212,0.0174,0.0143,0.0143,0.0065,0.02,0.02,0.0278,2.690584659576416
1.0,,0.0,0.0203,88.5739,0.7586,0.7867,0.4242,0.0207,0.0207,0.017,0.0145,0.0145,0.0058,0.0197,0.0197,0.026,2.6885898113250732
