alpha_u,alpha_i,ndcg,mrr,hit,dltc@10,avgpop@10,gini@10,cov@10
0.0,0.0,0.0527,0.0858,0.2245,0.2488,226.7266,0.8795,0.5165
0.1,0.0,0.0524,0.0856,0.2234,0.2654,220.3123,0.8733,0.5296
0.5,0.0,0.0515,0.0843,0.2181,0.3428,196.4042,0.8479,0.5808
1,0.0,0.0482,0.0791,0.2076,0.4247,166.3405,0.8128,0.632
1.5,0.0,0.0435,0.0718,0.1916,0.4874,137.3648,0.783,0.6642
2.0,0.0,0.0379,0.0625,0.1691,0.5291,113.2599,0.768,0.6799
2.5,0.0,0.0323,0.0536,0.1467,0.5548,93.2415,0.7674,0.6807
3.0,0.0,0.0269,0.0448,0.1255,0.5664,76.0052,0.7782,0.6697
