alpha_u,alpha_i,ndcg,dltc@10,avgpop@10,gini@10,cov@10,ndcgtail@10,ndcgmid@10,ndcghead@10,ndcguserhead@10,ndcgusermid@10,ndcgusertail@10
0,0,0.0249,,146.0525,0.7858,0.7575,0.0028,0.0069,0.0152,0.029,0.0247,0.0212
0.0,1,0.0249,,146.0525,0.7858,0.7575,0.0028,0.0069,0.0152,0.029,0.0247,0.0212
0.5,1,0.0245,,135.0728,0.7772,0.7683,0.0031,0.0073,0.014,0.0283,0.0242,0.0213
1,1,0.0243,,126.5338,0.7742,0.7715,0.0032,0.0078,0.0132,0.0278,0.024,0.0214
1.5,1,0.0236,,118.8944,0.7745,0.7719,0.0034,0.0079,0.0123,0.0261,0.0237,0.0212
2.0,1,0.0231,,111.3751,0.7772,0.7693,0.0036,0.0082,0.0113,0.026,0.023,0.0203
2.5,1,0.0225,,103.0309,0.7815,0.7645,0.0037,0.0084,0.0104,0.0254,0.0223,0.0203
3.0,1,0.0214,,94.7165,0.7876,0.7548,0.0037,0.0086,0.0091,0.0231,0.0212,0.0201
