alpha_u,alpha_n,alpha_i,ndcg,avgpop@10,gini@10,cov@10,covn@10,ndcgpassive@10,ndcgneutral@10,ndcgactive@10,ndcgtail@10,ndcgmid@10,ndcghead@10,ndcgtailuser@10,ndcgmiduser@10,ndcgheaduser@10,epochtime
0.0,2.0,1.0,0.0242,162.851,0.8256,0.6914,0.3393,0.0246,0.0246,0.0202,0.0121,0.0121,0.0121,0.0221,0.0221,0.0428,0.3341212272644043
1.0,2.0,1.0,0.0242,162.8026,0.8255,0.6913,0.3395,0.0246,0.0246,0.0202,0.0121,0.0121,0.0121,0.0221,0.0221,0.0428,0.3305630683898926
2.0,2.0,1.0,0.0243,162.6059,0.8251,0.6913,0.3398,0.0248,0.0248,0.0203,0.0122,0.0122,0.0121,0.0222,0.0222,0.043,0.33049559593200684
3.0,2.0,1.0,0.0242,162.6443,0.8247,0.6915,0.3395,0.0247,0.0247,0.0201,0.0122,0.0122,0.012,0.0222,0.0222,0.043,0.3320152759552002
4.0,2.0,1.0,0.0241,163.5531,0.8256,0.6881,0.3399,0.0245,0.0245,0.02,0.0122,0.0122,0.0119,0.022,0.022,0.0431,0.3306539058685303
5.0,2.0,1.0,0.0241,165.4454,0.8281,0.6798,0.336,0.0246,0.0246,0.0202,0.012,0.012,0.0121,0.022,0.022,0.0433,0.3296244144439697
0.0,2.0,2.0,0.0241,162.8644,0.8257,0.691,0.3388,0.0246,0.0246,0.0203,0.0121,0.0121,0.0121,0.022,0.022,0.043,0.32994604110717773
1.0,2.0,2.0,0.0242,162.817,0.8256,0.6909,0.339,0.0246,0.0246,0.0203,0.0121,0.0121,0.0121,0.0221,0.0221,0.043,0.32935285568237305
2.0,2.0,2.0,0.0243,162.6297,0.8252,0.6909,0.3392,0.0247,0.0247,0.0205,0.0122,0.0122,0.0121,0.0222,0.0222,0.0432,0.32978010177612305
3.0,2.0,2.0,0.0243,162.6863,0.8248,0.6911,0.3394,0.0247,0.0247,0.0203,0.0122,0.0122,0.012,0.0222,0.0222,0.043,0.3302335739135742
4.0,2.0,2.0,0.0241,163.6093,0.8257,0.6879,0.3394,0.0245,0.0245,0.0202,0.0122,0.0122,0.0118,0.022,0.022,0.0427,0.33081603050231934
5.0,2.0,2.0,0.0241,165.528,0.8283,0.6794,0.3359,0.0246,0.0246,0.0202,0.012,0.012,0.0121,0.022,0.022,0.0429,0.33063697814941406
0.0,2.0,3.0,0.0242,162.866,0.8257,0.6908,0.3386,0.0246,0.0246,0.0204,0.0121,0.0121,0.0121,0.0221,0.0221,0.043,0.3319382667541504
1.0,2.0,3.0,0.0242,162.8187,0.8256,0.6907,0.3389,0.0246,0.0246,0.0204,0.0121,0.0121,0.0121,0.0221,0.0221,0.043,0.33299708366394043
2.0,2.0,3.0,0.0243,162.6314,0.8253,0.6907,0.3391,0.0248,0.0248,0.0205,0.0122,0.0122,0.0121,0.0222,0.0222,0.0432,0.3308537006378174
3.0,2.0,3.0,0.0243,162.6822,0.8249,0.6909,0.3393,0.0247,0.0247,0.0203,0.0122,0.0122,0.012,0.0222,0.0222,0.043,0.32861948013305664
4.0,2.0,3.0,0.0241,163.6248,0.8257,0.6877,0.3392,0.0245,0.0245,0.0202,0.0122,0.0122,0.0118,0.022,0.022,0.0427,0.330157995223999
5.0,2.0,3.0,0.0241,165.5541,0.8283,0.6794,0.3359,0.0245,0.0245,0.0202,0.012,0.012,0.0121,0.022,0.022,0.0428,0.3311038017272949
0.0,2.0,4.0,0.0242,162.866,0.8257,0.6908,0.3386,0.0246,0.0246,0.0204,0.0121,0.0121,0.0121,0.0221,0.0221,0.043,0.3307671546936035
1.0,2.0,4.0,0.0242,162.8187,0.8256,0.6906,0.3389,0.0246,0.0246,0.0204,0.0121,0.0121,0.0121,0.0221,0.0221,0.043,0.3316342830657959
2.0,2.0,4.0,0.0243,162.6314,0.8253,0.6906,0.3391,0.0248,0.0248,0.0205,0.0122,0.0122,0.0121,0.0222,0.0222,0.0432,0.3309950828552246
3.0,2.0,4.0,0.0243,162.6851,0.8249,0.6909,0.3393,0.0247,0.0247,0.0203,0.0122,0.0122,0.012,0.0222,0.0222,0.043,0.33066487312316895
4.0,2.0,4.0,0.0241,163.6279,0.8257,0.6877,0.3392,0.0245,0.0245,0.0202,0.0122,0.0122,0.0118,0.022,0.022,0.0427,0.33192896842956543
5.0,2.0,4.0,0.0241,165.5578,0.8283,0.6794,0.3359,0.0245,0.0245,0.0202,0.012,0.012,0.0121,0.022,0.022,0.0428,0.3350203037261963
0.0,2.0,5.0,0.0242,162.866,0.8257,0.6908,0.3386,0.0246,0.0246,0.0204,0.0121,0.0121,0.0121,0.0221,0.0221,0.043,0.33095526695251465
1.0,2.0,5.0,0.0242,162.8187,0.8256,0.6906,0.3389,0.0246,0.0246,0.0204,0.0121,0.0121,0.0121,0.0221,0.0221,0.043,0.32973146438598633
2.0,2.0,5.0,0.0243,162.6314,0.8253,0.6906,0.3391,0.0248,0.0248,0.0205,0.0122,0.0122,0.0121,0.0222,0.0222,0.0432,0.33182764053344727
3.0,2.0,5.0,0.0243,162.6851,0.8249,0.6909,0.3393,0.0247,0.0247,0.0203,0.0122,0.0122,0.012,0.0222,0.0222,0.043,0.3310093879699707
4.0,2.0,5.0,0.0241,163.6283,0.8257,0.6877,0.3392,0.0245,0.0245,0.0202,0.0122,0.0122,0.0118,0.022,0.022,0.0427,0.3304412364959717
5.0,2.0,5.0,0.0241,165.5578,0.8283,0.6794,0.3359,0.0245,0.0245,0.0202,0.012,0.012,0.0121,0.022,0.022,0.0428,0.331467866897583
