alpha_u,alpha_n,alpha_i,ndcg,avgpop@10,gini@10,cov@10,covn@10,ndcgpassive@10,ndcgneutral@10,ndcgactive@10,ndcgtail@10,ndcgmid@10,ndcghead@10,ndcgtailuser@10,ndcgmiduser@10,ndcgheaduser@10,epochtime
4.0,0,5.0,0.014,46.8377,0.9501,0.3324,0.1534,0.0142,0.0142,0.0122,0.0129,0.0129,0.0012,0.0145,0.0145,0.0097,0.5627870559692383
5.0,0,5.0,0.0117,36.3258,0.9704,0.2152,0.1062,0.0118,0.0118,0.0107,0.0112,0.0112,0.0005,0.0124,0.0124,0.0049,0.5666265487670898
0.0,0.5,0.0,0.024,164.2558,0.8259,0.6901,0.3377,0.0245,0.0245,0.0199,0.012,0.012,0.0121,0.022,0.022,0.0428,0.4690098762512207
1.0,0.5,0.0,0.0248,151.0143,0.8239,0.6911,0.3402,0.0255,0.0255,0.0188,0.0136,0.0136,0.0112,0.0228,0.0228,0.0433,0.4681661128997803
2.0,0.5,0.0,0.0245,136.3398,0.8392,0.6606,0.3249,0.0252,0.0252,0.0185,0.0145,0.0145,0.01,0.0223,0.0223,0.0441,0.47071170806884766
3.0,0.5,0.0,0.0233,117.7657,0.8695,0.5942,0.2851,0.024,0.024,0.0176,0.0151,0.0151,0.0082,0.0213,0.0213,0.0415,0.47167110443115234
4.0,0.5,0.0,0.0207,97.2482,0.9081,0.4929,0.2278,0.0214,0.0214,0.0141,0.0143,0.0143,0.0063,0.0185,0.0185,0.0399,0.46803998947143555
5.0,0.5,0.0,0.0162,75.6325,0.9461,0.357,0.1637,0.0167,0.0167,0.0119,0.0124,0.0124,0.0038,0.015,0.015,0.0268,0.46831250190734863
0.0,0.5,1.0,0.024,144.4052,0.8145,0.7085,0.3568,0.0246,0.0246,0.0186,0.013,0.013,0.0109,0.0217,0.0217,0.0442,0.46783947944641113
1.0,0.5,1.0,0.0243,131.4975,0.8176,0.6989,0.3515,0.0251,0.0251,0.0167,0.0146,0.0146,0.0097,0.0222,0.0222,0.0433,0.4705078601837158
2.0,0.5,1.0,0.0238,117.4028,0.8415,0.6579,0.3209,0.0245,0.0245,0.0171,0.0154,0.0154,0.0083,0.0217,0.0217,0.0425,0.46866703033447266
3.0,0.5,1.0,0.022,100.5612,0.8796,0.5748,0.2695,0.0226,0.0226,0.0165,0.0153,0.0153,0.0067,0.0201,0.0201,0.0389,0.46930527687072754
4.0,0.5,1.0,0.0185,81.1077,0.922,0.4524,0.2042,0.019,0.019,0.0136,0.0141,0.0141,0.0044,0.0171,0.0171,0.0308,0.47226524353027344
5.0,0.5,1.0,0.014,59.5307,0.9578,0.2992,0.1352,0.0142,0.0142,0.0116,0.0118,0.0118,0.0022,0.0137,0.0137,0.0162,0.46689939498901367
0.0,0.5,2.0,0.0232,131.197,0.8143,0.7073,0.3582,0.0238,0.0238,0.0182,0.0138,0.0138,0.0095,0.0213,0.0213,0.0409,0.4679293632507324
1.0,0.5,2.0,0.0236,118.6773,0.8216,0.6939,0.3472,0.0244,0.0244,0.0162,0.0152,0.0152,0.0084,0.0216,0.0216,0.0413,0.4721860885620117
2.0,0.5,2.0,0.0229,105.1343,0.849,0.6458,0.3132,0.0236,0.0236,0.0173,0.0159,0.0159,0.007,0.0212,0.0212,0.0386,0.4737284183502197
3.0,0.5,2.0,0.0205,88.2939,0.8906,0.55,0.2516,0.0209,0.0209,0.0162,0.0153,0.0153,0.0052,0.0192,0.0192,0.032,0.46977829933166504
4.0,0.5,2.0,0.0169,68.1807,0.9325,0.413,0.1858,0.0173,0.0173,0.0131,0.0138,0.0138,0.0031,0.0164,0.0164,0.0216,0.47104692459106445
5.0,0.5,2.0,0.0125,47.5844,0.9647,0.2533,0.1198,0.0126,0.0126,0.0113,0.0114,0.0114,0.001,0.0129,0.0129,0.0089,0.46842145919799805
0.0,0.5,3.0,0.0226,120.7402,0.8182,0.7017,0.3521,0.0232,0.0232,0.0172,0.0143,0.0143,0.0082,0.0208,0.0208,0.0386,0.47126007080078125
1.0,0.5,3.0,0.0228,108.6261,0.8276,0.6849,0.3388,0.0235,0.0235,0.0162,0.0155,0.0155,0.0073,0.0211,0.0211,0.0376,0.47230052947998047
2.0,0.5,3.0,0.0219,95.5291,0.8576,0.6295,0.3009,0.0224,0.0224,0.0169,0.0159,0.0159,0.0059,0.0205,0.0205,0.0342,0.47052884101867676
3.0,0.5,3.0,0.0192,78.9698,0.8993,0.5251,0.2401,0.0196,0.0196,0.0156,0.0151,0.0151,0.0041,0.0183,0.0183,0.0274,0.4682304859161377
4.0,0.5,3.0,0.0156,58.1127,0.9401,0.3794,0.1737,0.0158,0.0158,0.0131,0.0135,0.0135,0.002,0.0156,0.0156,0.0149,0.46970558166503906
5.0,0.5,3.0,0.0117,41.5293,0.9682,0.2283,0.1123,0.0118,0.0118,0.0108,0.011,0.011,0.0007,0.0124,0.0124,0.0058,0.47110486030578613
0.0,0.5,4.0,0.0217,113.9602,0.8247,0.6888,0.345,0.0222,0.0222,0.0173,0.0142,0.0142,0.0076,0.0201,0.0201,0.0364,0.4686155319213867
1.0,0.5,4.0,0.0221,102.185,0.8349,0.6706,0.3305,0.0228,0.0228,0.0159,0.0155,0.0155,0.0067,0.0207,0.0207,0.0353,0.4696016311645508
