alpha_u,alpha_i,ndcg,mrr,hit,dltc@10,avgpop@10,gini@10,cov@10
0.0,0.0,0.053,0.0866,0.2259,0.246,226.5095,0.88,0.5133
0.0,0.1,0.0528,0.0857,0.2247,0.2767,219.4967,0.8716,0.5354
0.0,0.5,0.0468,0.0762,0.2044,0.3857,184.9281,0.84,0.5955
0.0,1,0.0375,0.0603,0.1708,0.4437,140.3071,0.8219,0.6019
0.0,1.5,0.0295,0.0483,0.1384,0.4436,108.4997,0.834,0.5731
0.0,2.0,0.0252,0.0409,0.1202,0.4298,97.8365,0.8536,0.5328
0.0,2.5,0.0216,0.035,0.1046,0.4144,96.7377,0.8678,0.5
0.0,3.0,0.0191,0.0316,0.0922,0.3877,105.5519,0.8847,0.465
