alpha_u,alpha_i,ndcg,mrr,hit,dltc@10,avgpop@10,gini@10,cov@10
0.0,0,0.0527,0.0858,0.2245,0.2488,226.7266,0.8795,0.5165
3.0,0,0.0514,0.0837,0.2188,0.3271,220.4847,0.864,0.5648
4.0,0,0.0508,0.0828,0.2157,0.3512,218.7635,0.8591,0.5784
5.0,0,0.0502,0.0818,0.2143,0.3726,217.0542,0.8541,0.5914
