alpha_pop,cohens_d,alpha_unpop,ndcg,avgpop@10,gini@10,cov@10,covn@10,ndcgpassive@10,ndcgneutral@10,ndcgactive@10,ndcgtail@10,ndcghead@10,ndcgtailuser@10,ndcgmiduser@10,ndcgheaduser@10,epochtime
1,2.0,4,0.0242,162.8187,0.8256,0.6906,0.3389,0.0246,0.0246,0.0204,0.0121,0.0121,0.0221,0.0221,0.043,0.331634283
2,2.0,4,0.0243,162.6314,0.8253,0.6906,0.3391,0.0248,0.0248,0.0205,0.012199999999999999,0.0121,0.0222,0.0222,0.0432,0.330995083
3,2.0,4,0.0243,162.6851,0.8249,0.6909,0.3393,0.0247,0.0247,0.0203,0.012299999999999998,0.012,0.0222,0.0222,0.043,0.330664873
4,2.0,4,0.0241,163.6279,0.8257,0.6877,0.3392,0.0245,0.0245,0.0202,0.0123,0.0118,0.022,0.022,0.0427,0.331928968
5,2.0,4,0.0241,165.5578,0.8283,0.6794,0.3359,0.0245,0.0245,0.0202,0.012,0.0121,0.022,0.022,0.0428,0.335020304
0,2.0,5,0.0242,162.866,0.8257,0.6908,0.3386,0.0246,0.0246,0.0204,0.0121,0.0121,0.0221,0.0221,0.043,0.330955267
1,2.0,5,0.0242,162.8187,0.8256,0.6906,0.3389,0.0246,0.0246,0.0204,0.0121,0.0121,0.0221,0.0221,0.043,0.329731464
2,2.0,5,0.0243,162.6314,0.8253,0.6906,0.3391,0.0248,0.0248,0.0205,0.012199999999999999,0.0121,0.0222,0.0222,0.0432,0.331827641
3,2.0,5,0.0243,162.6851,0.8249,0.6909,0.3393,0.0247,0.0247,0.0203,0.012299999999999998,0.012,0.0222,0.0222,0.043,0.331009388
4,2.0,5,0.0241,163.6283,0.8257,0.6877,0.3392,0.0245,0.0245,0.0202,0.0123,0.0118,0.022,0.022,0.0427,0.330441236
5,2.0,5,0.0241,165.5578,0.8283,0.6794,0.3359,0.0245,0.0245,0.0202,0.012,0.0121,0.022,0.022,0.0428,0.331467867
