alpha_pop,cohens_d,alpha_unpop,ndcg,avgpop@10,gini@10,cov@10,covn@10,ndcgpassive@10,ndcgneutral@10,ndcgactive@10,ndcgtail@10,ndcghead@10,ndcgtailuser@10,ndcgmiduser@10,ndcgheaduser@10,epochtime
4,0.0,4,0.0142,48.4879,0.9474,0.3467,0.1573,0.0144,0.0144,0.0125,0.012900000000000002,0.0013,0.0146,0.0146,0.0104,0.563703775
5,0.0,4,0.0118,37.1014,0.9695,0.2214,0.1085,0.0119,0.0119,0.0109,0.0113,0.0005,0.0126,0.0126,0.0051,0.561426878
0,0.0,5,0.0209,94.6182,0.8307,0.675,0.3402,0.0215,0.0215,0.0156,0.014799999999999997,0.0061,0.0197,0.0197,0.0314,0.562461376
1,0.0,5,0.021,84.6691,0.8505,0.6427,0.3137,0.0215,0.0215,0.0161,0.0158,0.0052,0.0201,0.0201,0.0288,0.561378717
2,0.0,5,0.0198,74.4029,0.8834,0.5693,0.2673,0.0202,0.0202,0.0154,0.015600000000000003,0.0042,0.019,0.019,0.0263,0.565765858
3,0.0,5,0.0172,61.2495,0.9195,0.4587,0.2097,0.0175,0.0175,0.0147,0.0147,0.0025,0.0172,0.0172,0.0175,0.569580555
4,0.0,5,0.014,46.8377,0.9501,0.3324,0.1534,0.0142,0.0142,0.0122,0.0128,0.0012,0.0145,0.0145,0.0097,0.562787056
5,0.0,5,0.0117,36.3258,0.9704,0.2152,0.1062,0.0118,0.0118,0.0107,0.0112,0.0005,0.0124,0.0124,0.0049,0.566626549
0,0.5,0,0.024,164.2558,0.8259,0.6901,0.3377,0.0245,0.0245,0.0199,0.0119,0.0121,0.022,0.022,0.0428,0.469009876
1,0.5,0,0.0248,151.0143,0.8239,0.6911,0.3402,0.0255,0.0255,0.0188,0.0136,0.0112,0.0228,0.0228,0.0433,0.468166113
2,0.5,0,0.0245,136.3398,0.8392,0.6606,0.3249,0.0252,0.0252,0.0185,0.0145,0.01,0.0223,0.0223,0.0441,0.470711708
3,0.5,0,0.0233,117.7657,0.8695,0.5942,0.2851,0.024,0.024,0.0176,0.0151,0.0082,0.0213,0.0213,0.0415,0.471671104
4,0.5,0,0.0207,97.2482,0.9081,0.4929,0.2278,0.0214,0.0214,0.0141,0.0144,0.0063,0.0185,0.0185,0.0399,0.468039989
5,0.5,0,0.0162,75.6325,0.9461,0.357,0.1637,0.0167,0.0167,0.0119,0.0124,0.0038,0.015,0.015,0.0268,0.468312502
0,0.5,1,0.024,144.4052,0.8145,0.7085,0.3568,0.0246,0.0246,0.0186,0.0131,0.0109,0.0217,0.0217,0.0442,0.467839479
1,0.5,1,0.0243,131.4975,0.8176,0.6989,0.3515,0.0251,0.0251,0.0167,0.014599999999999998,0.0097,0.0222,0.0222,0.0433,0.47050786
2,0.5,1,0.0238,117.4028,0.8415,0.6579,0.3209,0.0245,0.0245,0.0171,0.015500000000000002,0.0083,0.0217,0.0217,0.0425,0.46866703
3,0.5,1,0.022,100.5612,0.8796,0.5748,0.2695,0.0226,0.0226,0.0165,0.015299999999999998,0.0067,0.0201,0.0201,0.0389,0.469305277
4,0.5,1,0.0185,81.1077,0.922,0.4524,0.2042,0.019,0.019,0.0136,0.014099999999999998,0.0044,0.0171,0.0171,0.0308,0.472265244
5,0.5,1,0.014,59.5307,0.9578,0.2992,0.1352,0.0142,0.0142,0.0116,0.0118,0.0022,0.0137,0.0137,0.0162,0.466899395
0,0.5,2,0.0232,131.197,0.8143,0.7073,0.3582,0.0238,0.0238,0.0182,0.013699999999999999,0.0095,0.0213,0.0213,0.0409,0.467929363
1,0.5,2,0.0236,118.6773,0.8216,0.6939,0.3472,0.0244,0.0244,0.0162,0.0152,0.0084,0.0216,0.0216,0.0413,0.472186089
2,0.5,2,0.0229,105.1343,0.849,0.6458,0.3132,0.0236,0.0236,0.0173,0.0159,0.007,0.0212,0.0212,0.0386,0.473728418
3,0.5,2,0.0205,88.2939,0.8906,0.55,0.2516,0.0209,0.0209,0.0162,0.015300000000000001,0.0052,0.0192,0.0192,0.032,0.469778299
4,0.5,2,0.0169,68.1807,0.9325,0.413,0.1858,0.0173,0.0173,0.0131,0.013799999999999998,0.0031,0.0164,0.0164,0.0216,0.471046925
5,0.5,2,0.0125,47.5844,0.9647,0.2533,0.1198,0.0126,0.0126,0.0113,0.0115,0.001,0.0129,0.0129,0.0089,0.468421459
0,0.5,3,0.0226,120.7402,0.8182,0.7017,0.3521,0.0232,0.0232,0.0172,0.014399999999999998,0.0082,0.0208,0.0208,0.0386,0.471260071
1,0.5,3,0.0228,108.6261,0.8276,0.6849,0.3388,0.0235,0.0235,0.0162,0.0155,0.0073,0.0211,0.0211,0.0376,0.472300529
2,0.5,3,0.0219,95.5291,0.8576,0.6295,0.3009,0.0224,0.0224,0.0169,0.016,0.0059,0.0205,0.0205,0.0342,0.470528841
3,0.5,3,0.0192,78.9698,0.8993,0.5251,0.2401,0.0196,0.0196,0.0156,0.015099999999999999,0.0041,0.0183,0.0183,0.0274,0.468230486
4,0.5,3,0.0156,58.1127,0.9401,0.3794,0.1737,0.0158,0.0158,0.0131,0.0136,0.002,0.0156,0.0156,0.0149,0.469705582
5,0.5,3,0.0117,41.5293,0.9682,0.2283,0.1123,0.0118,0.0118,0.0108,0.011000000000000001,0.0007,0.0124,0.0124,0.0058,0.47110486
0,0.5,4,0.0217,113.9602,0.8247,0.6888,0.345,0.0222,0.0222,0.0173,0.014100000000000001,0.0076,0.0201,0.0201,0.0364,0.468615532
1,0.5,4,0.0221,102.185,0.8349,0.6706,0.3305,0.0228,0.0228,0.0159,0.0154,0.0067,0.0207,0.0207,0.0353,0.469601631
2,0.5,4,0.0214,89.9145,0.8649,0.6123,0.2923,0.0219,0.0219,0.0169,0.016,0.0054,0.0201,0.0201,0.0328,0.470764875
3,0.5,4,0.0187,73.8989,0.9059,0.5026,0.2312,0.0191,0.0191,0.0149,0.015000000000000001,0.0037,0.0181,0.0181,0.0246,0.481534481
4,0.5,4,0.015,54.1801,0.9444,0.3579,0.1634,0.0152,0.0152,0.0125,0.0132,0.0018,0.0152,0.0152,0.0132,0.469141722
5,0.5,4,0.0115,39.8075,0.97,0.216,0.108,0.0116,0.0116,0.0107,0.0109,0.0006,0.0122,0.0122,0.0054,0.471179485
0,0.5,5,0.0214,113.1255,0.8283,0.6809,0.3398,0.022,0.022,0.0162,0.013999999999999999,0.0074,0.0198,0.0198,0.0359,0.469069719
1,0.5,5,0.0219,101.2685,0.8387,0.6607,0.3254,0.0225,0.0225,0.0163,0.0154,0.0065,0.0205,0.0205,0.0339,0.472004652
2,0.5,5,0.0212,88.8257,0.8681,0.6027,0.2885,0.0217,0.0217,0.0167,0.0159,0.0053,0.02,0.02,0.0323,0.470347166
3,0.5,5,0.0183,72.921,0.9081,0.4947,0.227,0.0187,0.0187,0.015,0.0148,0.0035,0.0178,0.0178,0.023,0.47008872
4,0.5,5,0.0149,53.5469,0.9456,0.3506,0.1612,0.0151,0.0151,0.0125,0.0132,0.0017,0.0151,0.0151,0.0128,0.469148159
5,0.5,5,0.0115,39.6398,0.9703,0.2143,0.1072,0.0116,0.0116,0.0107,0.0109,0.0006,0.0122,0.0122,0.0054,0.467525244
0,1.0,0,0.024,164.2558,0.8259,0.6901,0.3377,0.0245,0.0245,0.0199,0.0119,0.0121,0.022,0.022,0.0428,0.39448452
1,1.0,0,0.0248,157.0355,0.827,0.6839,0.3363,0.0253,0.0253,0.0206,0.012899999999999998,0.0119,0.0228,0.0228,0.0429,0.395466328
2,1.0,0,0.0245,146.1731,0.8407,0.653,0.3205,0.0251,0.0251,0.0185,0.013600000000000001,0.0109,0.0223,0.0223,0.0439,0.395870924
3,1.0,0,0.0236,129.2264,0.8672,0.5895,0.2855,0.0243,0.0243,0.0173,0.0143,0.0093,0.0215,0.0215,0.0424,0.395219326
4,1.0,0,0.0203,108.7202,0.9053,0.4891,0.2324,0.021,0.021,0.0138,0.012899999999999998,0.0074,0.0181,0.0181,0.0401,0.395410299
5,1.0,0,0.0155,85.735,0.9474,0.353,0.1614,0.0161,0.0161,0.0096,0.010700000000000001,0.0048,0.0138,0.0138,0.0306,0.396292448
0,1.0,1,0.0239,145.7129,0.8155,0.7095,0.3535,0.0246,0.0246,0.018,0.0128,0.0111,0.0218,0.0218,0.0433,0.394495487
1,1.0,1,0.0244,138.555,0.8182,0.6991,0.3502,0.0251,0.0251,0.0181,0.013800000000000002,0.0106,0.0222,0.0222,0.0439,0.39563179
2,1.0,1,0.0241,128.2505,0.836,0.6605,0.329,0.025,0.025,0.016,0.0144,0.0097,0.0219,0.0219,0.0438,0.396431208
3,1.0,1,0.0225,112.7695,0.8686,0.5868,0.2859,0.0233,0.0233,0.0158,0.014599999999999998,0.0079,0.0205,0.0205,0.0403,0.396791697
4,1.0,1,0.0188,92.6846,0.9116,0.4731,0.2219,0.0196,0.0196,0.0119,0.013000000000000001,0.0058,0.0171,0.0171,0.0341,0.394019127
5,1.0,1,0.0135,69.3021,0.9556,0.3146,0.1426,0.014,0.014,0.0092,0.010499999999999999,0.003,0.0128,0.0128,0.0198,0.393596411
0,1.0,2,0.0234,134.585,0.8127,0.7113,0.3585,0.024,0.024,0.0176,0.013300000000000001,0.0101,0.0212,0.0212,0.0428,0.392573595
1,1.0,2,0.0235,127.5585,0.8162,0.7007,0.3562,0.0244,0.0244,0.016,0.014,0.0095,0.0214,0.0214,0.0428,0.39273262
2,1.0,2,0.0233,117.8716,0.8358,0.6618,0.3289,0.0241,0.0241,0.0162,0.014900000000000002,0.0084,0.0214,0.0214,0.0404,0.398832083
3,1.0,2,0.0215,102.6372,0.8703,0.5829,0.2865,0.0222,0.0222,0.0151,0.014699999999999998,0.0068,0.0198,0.0198,0.0364,0.393712521
4,1.0,2,0.0173,81.8769,0.9154,0.4642,0.2168,0.0179,0.0179,0.0118,0.012899999999999998,0.0044,0.0163,0.0163,0.0258,0.39514184
5,1.0,2,0.0119,57.5717,0.9598,0.2911,0.1346,0.0123,0.0123,0.0086,0.0102,0.0017,0.0119,0.0119,0.0121,0.397458553
0,1.0,3,0.0227,126.3515,0.8127,0.7117,0.3589,0.0233,0.0233,0.0167,0.013600000000000001,0.0091,0.0207,0.0207,0.0399,0.39533782
1,1.0,3,0.0229,119.5096,0.8167,0.7017,0.3548,0.0237,0.0237,0.0158,0.0143,0.0086,0.0211,0.0211,0.0388,0.397398949
2,1.0,3,0.0227,110.0715,0.8372,0.6588,0.3276,0.0234,0.0234,0.0165,0.015100000000000002,0.0076,0.021,0.021,0.038,0.395071268
3,1.0,3,0.0211,95.4478,0.8724,0.5784,0.2827,0.0217,0.0217,0.015,0.0149,0.0062,0.0196,0.0196,0.0339,0.394556046
4,1.0,3,0.0163,73.9289,0.9182,0.4572,0.2122,0.0168,0.0168,0.0113,0.012599999999999998,0.0037,0.0156,0.0156,0.0226,0.396300793
5,1.0,3,0.0111,50.245,0.9627,0.2794,0.1275,0.0114,0.0114,0.0081,0.0099,0.0012,0.0114,0.0114,0.0087,0.396008492
0,1.0,4,0.0224,121.4634,0.8154,0.7073,0.3556,0.023,0.023,0.0166,0.0137,0.0087,0.0206,0.0206,0.0383,0.39633131
1,1.0,4,0.0226,114.6696,0.8194,0.6969,0.3504,0.0233,0.0233,0.0158,0.014399999999999998,0.0082,0.0208,0.0208,0.0387,0.393579245
2,1.0,4,0.0225,105.5451,0.8398,0.6533,0.3228,0.0232,0.0232,0.0163,0.015099999999999999,0.0074,0.0209,0.0209,0.0375,0.405923843
3,1.0,4,0.0208,91.5791,0.8752,0.5719,0.2793,0.0214,0.0214,0.0153,0.0149,0.0059,0.0194,0.0194,0.0334,0.394192457
4,1.0,4,0.0159,70.6125,0.9206,0.4494,0.2099,0.0164,0.0164,0.0115,0.0125,0.0034,0.0153,0.0153,0.0208,0.396934748
5,1.0,4,0.0107,47.4759,0.9647,0.2683,0.1238,0.011,0.011,0.0082,0.0096,0.0011,0.011,0.011,0.0076,0.404396296
0,1.0,5,0.0223,120.7199,0.816,0.7057,0.3542,0.023,0.023,0.0164,0.013600000000000001,0.0087,0.0205,0.0205,0.0385,0.393783092
1,1.0,5,0.0225,113.958,0.8202,0.6953,0.3491,0.0233,0.0233,0.0158,0.0144,0.0081,0.0207,0.0207,0.0386,0.392770767
